32
LEVEL,BOOST_VALUE,BOOST_TYPE
1,5,BASE_STAT
2,2,RANGE
3,5,BASE_STAT
4,0.1,BASE_STAT
5,0.05,FROST_DAMAGE
6,0.05,BASE_STAT
7,0.05,BASE_STAT
8,0.05,BASE_STAT
9,0.05,FROST_DAMAGE
10,0.02,BASE_STAT
11,0.05,BASE_STAT
12,0.02,BASE_STAT
13,0.05,BASE_STAT
14,0.05,BASE_STAT
15,0.05,FROST_DAMAGE
16,0.02,BASE_STAT
17,0.05,BASE_STAT
18,0.02,BASE_STAT
19,0.05,FROST_DAMAGE
20,0.02,BASE_STAT
21,0.3,CRITICAL_HIT_DAMAGE
22,0.1,BASE_STAT
23,0.02,BASE_STAT
24,0.02,BASE_STAT
25,0.05,FROST_DAMAGE
26,0.1,BASE_STAT
27,1,RANGE
28,0.05,BASE_STAT
29,0.02,BASE_STAT
30,0.1,BASE_STAT
31,0.05,FROST_DAMAGE
32,0.1,BASE_STAT
