30
LEVEL,BOOST_VALUE,BOOST_TYPE
1,5,BASE_STAT
2,5,BASE_STAT
3,0.05,BASE_STAT
4,5,BASE_STAT
5,0.05,BASE_STAT
6,5,BASE_STAT
7,5,BASE_STAT
8,0.05,BASE_STAT
9,5,BASE_STAT
10,0.05,BASE_STAT
11,5,BASE_STAT
12,5,BASE_STAT
13,5,BASE_STAT
14,0.05,BASE_STAT
15,5,BASE_STAT
16,5,BASE_STAT
17,5,BASE_STAT
18,0.05,BASE_STAT
19,5,BASE_STAT
20,5,BASE_STAT
21,5,BASE_STAT
22,5,BASE_STAT
23,5,BASE_STAT
24,5,BASE_STAT
25,5,BASE_STAT
26,0.05,BASE_STAT
27,5,BASE_STAT
28,0.05,BASE_STAT
29,0.05,BASE_STAT
30,0.05,BASE_STAT
