27
LEVEL,BOOST_VALUE,BOOST_TYPE
1,25,BASE_STAT
2,0.05,BASE_STAT
3,25,BASE_STAT
4,0.1,FROST_DAMAGE
5,0.1,BASE_STAT
6,0.05,BASE_STAT
7,25,BASE_STAT
8,0.05,BASE_STAT
9,0.1,FROST_DAMAGE
10,0.1,BASE_STAT
11,0.1,PROJECTILE_SPEED
12,0.05,BASE_STAT
13,0.02,BASE_STAT
14,0.1,BASE_STAT
15,0.05,BASE_STAT
16,0.1,PROJECTILE_SPEED
17,0.02,BASE_STAT
18,0.1,BASE_STAT
19,0.02,BASE_STAT
20,0.05,BASE_STAT
21,0.1,BASE_STAT
22,0.05,BASE_STAT
23,0.1,FROST_DAMAGE
24,0.05,BASE_STAT
25,0.02,BASE_STAT
26,0.1,PROJECTILE_SPEED
27,0.02,BASE_STAT
