33
LEVEL,BOOST_VALUE,BOOST_TYPE
1,0.05,BASE_STAT
2,1,RANGE
3,0.05,BASE_STAT
4,0.02,BASE_STAT
5,0.05,BASE_STAT
6,1,RANGE
7,0.05,BASE_STAT
8,0.02,BASE_STAT
9,0.05,BASE_STAT
10,0.3,FROST_EFFECT
11,0.02,BASE_STAT
12,1,RANGE
13,0.05,BASE_STAT
14,0.3,TURET_ROTATION
15,0.02,BASE_STAT
16,0.05,BASE_STAT
17,0.2,FROST_EFFECT
18,1,RANGE
19,0.05,BASE_STAT
20,0.05,BASE_STAT
21,0.02,BASE_STAT
22,0.02,BASE_STAT
23,0.05,TURET_ROTATION
24,0.05,BASE_STAT
25,0.2,FROST_EFFECT
26,1,RANGE
27,0.05,BASE_STAT
28,0.05,TURET_ROTATION
29,0.05,BASE_STAT
30,1,RANGE
31,1,RANGE
32,0.02,BASE_STAT
33,0.1,TURET_ROTATION
