30
LEVEL,BOOST_VALUE,BOOST_TYPE
1,5,BASE_STAT
2,0.05,FIRE_DAMAGE
3,3,RANGE
4,0.1,PROJECTILE_SPEED
5,0.05,BASE_STAT
6,0.05,BASE_STAT
7,10,BASE_STAT
8,0.05,BASE_STAT
9,0.05,BASE_STAT
10,0.05,FIRE_DAMAGE
11,0.05,BASE_STAT
12,0.05,BASE_STAT
13,0.05,BASE_STAT
14,0.1,PROJECTILE_SPEED
15,0.1,BASE_STAT
16,0.05,FIRE_DAMAGE
17,0.05,RANGE
18,0.05,BASE_STAT
19,0.05,FIRE_DAMAGE
20,0.1,BASE_STAT
21,0.1,PROJECTILE_SPEED
22,0.05,BASE_STAT
23,0.05,RANGE
24,0.05,BASE_STAT
25,0.05,BASE_STAT
26,0.05,FIRE_DAMAGE
27,0.05,BASE_STAT
28,0.1,PROJECTILE_SPEED
29,0.05,BASE_STAT
30,0.05,BASE_STAT
