30
LEVEL,BOOST_VALUE,BOOST_TYPE
1,5,BASE_STAT
2,1,RANGE
3,5,BASE_STAT
4,0.2,CRITICAL_HIT_DAMAGE
5,0.05,BASE_STAT
6,0.05,BASE_STAT
7,0.05,BASE_STAT
8,1,RANGE
9,0.05,BASE_STAT
10,0.05,BASE_STAT
11,0.02,BASE_STAT
12,0.1,CRITICAL_HIT_CHANCE
13,0.05,BASE_STAT
14,0.02,BASE_STAT
15,0.2,CRITICAL_HIT_DAMAGE
16,2,RANGE
17,0.05,BASE_STAT
18,0.1,CRITICAL_HIT_CHANCE
19,0.05,BASE_STAT
20,0.05,BASE_STAT
21,0.05,BASE_STAT
22,0.2,CRITICAL_HIT_DAMAGE
23,0.02,BASE_STAT
24,2,RANGE
25,0.02,BASE_STAT
26,0.2,CRITICAL_HIT_DAMAGE
27,0.02,BASE_STAT
28,0.1,CRITICAL_HIT_CHANCE
29,0.1,BASE_STAT
30,0.2,CRITICAL_HIT_DAMAGE
