28
LEVEL,BOOST_VALUE,BOOST_TYPE
1,0.05,BASE_STAT
2,0.05,COOL_DOWN
3,0.05,BASE_STAT
4,0.05,COOL_DOWN
5,0.05,BASE_STAT
6,0.05,COOL_DOWN
7,0.05,BASE_STAT
8,0.05,COOL_DOWN
9,0.05,BASE_STAT
10,1,RANGE
11,0.05,BASE_STAT
12,0.05,COOL_DOWN
13,0.05,BASE_STAT
14,0.05,BASE_STAT
15,0.05,BASE_STAT
16,0.05,BASE_STAT
17,0.05,BASE_STAT
18,0.05,BASE_STAT
19,0.05,BASE_STAT
20,0.05,BASE_STAT
21,0.05,BASE_STAT
22,0.02,BASE_STAT
23,0.05,BASE_STAT
24,0.05,BASE_STAT
25,2,RANGE
26,0.05,BASE_STAT
27,0.05,BASE_STAT
28,0.05,BASE_STAT
