29
LEVEL,BOOST_VALUE,BOOST_TYPE
1,0.1,CRITICAL_HIT_CHANCE
2,0.05,BASE_STAT
3,0.05,COOL_DOWN
4,1,RANGE
5,0.05,BASE_STAT
6,0.1,CRITICAL_HIT_CHANCE
7,1,RANGE
8,0.05,BASE_STAT
9,0.01,CRITICAL_HIT_CHANCE
10,0.05,CRITICAL_HIT_CHANCE
11,0.05,BASE_STAT
12,1,RANGE
13,0.05,COOL_DOWN
14,0.1,CRITICAL_HIT_CHANCE
15,0.05,CRITICAL_HIT_CHANCE
16,0.05,BASE_STAT
17,0.1,CRITICAL_HIT_CHANCE
18,0.1,CRITICAL_HIT_CHANCE
19,1,RANGE
20,0.05,BASE_STAT
21,0.05,BASE_STAT
22,0.1,CRITICAL_HIT_CHANCE
23,0.05,COOL_DOWN
24,0.1,CRITICAL_HIT_CHANCE
25,0.05,CRITICAL_HIT_CHANCE
26,0.05,BASE_STAT
27,1,RANGE
28,0.1,CRITICAL_HIT_CHANCE
29,0.1,CRITICAL_HIT_CHANCE
