32
LEVEL,BOOST_VALUE,BOOST_TYPE
1,5,BASE_STAT
2,1,RANGE
3,0.05,FIRE_DAMAGE
4,0.1,COOL_DOWN
5,10,BASE_STAT
6,0.1,PROJECTILE_SPEED
7,0.2,BASE_STAT
8,0.05,RANGE
9,0.05,BASE_STAT
10,2,RANGE
11,0.05,BASE_STAT
12,0.05,FIRE_DAMAGE
13,0.05,BASE_STAT
14,0.1,COOL_DOWN
15,0.1,PROJECTILE_SPEED
16,0.05,FIRE_DAMAGE
17,0.03,BASE_STAT
18,0.03,BASE_STAT
19,0.1,PROJECTILE_SPEED
20,0.15,BASE_STAT
21,0.05,FIRE_DAMAGE
22,0.02,BASE_STAT
23,0.05,RANGE
24,0.1,COOL_DOWN
25,0.03,BASE_STAT
26,0.1,PROJECTILE_SPEED
27,0.02,BASE_STAT
28,0.02,BASE_STAT
29,0.05,FIRE_DAMAGE
30,0.02,BASE_STAT
31,0.02,BASE_STAT
32,0.05,BASE_STAT
