27
LEVEL,BOOST_VALUE,BOOST_TYPE
1,0.05,COOL_DOWN
2,5,BASE_STAT
3,0.05,BASE_STAT
4,5,BASE_STAT
5,0.05,FROST_DAMAGE
6,0.05,BASE_STAT
7,1,RANGE
8,0.05,BASE_STAT
9,0.05,FROST_DAMAGE
10,0.05,COOL_DOWN
11,0.05,BASE_STAT
12,0.05,BASE_STAT
13,0.05,FROST_DAMAGE
14,0.05,BASE_STAT
15,0.05,BASE_STAT
16,0.3,FROST_DAMAGE
17,0.05,BASE_STAT
18,0.05,CRITICAL_HIT_DAMAGE
19,0.05,COOL_DOWN
20,0.05,BASE_STAT
21,0.05,FROST_DAMAGE
22,0.05,BASE_STAT
23,2,RANGE
24,0.05,BASE_STAT
25,0.05,FROST_DAMAGE
26,0.05,COOL_DOWN
27,0.05,BASE_STAT
