31
LEVEL,BOOST_VALUE,BOOST_TYPE
1,0.05,COOL_DOWN
2,0.05,BASE_STAT
3,0.05,COOL_DOWN
4,0.2,PROJECTILE_SPEED
5,0.1,FROST_DAMAGE
6,25,BASE_STAT
7,0.05,BASE_STAT
8,25,BASE_STAT
9,0.2,PROJECTILE_SPEED
10,25,BASE_STAT
11,25,BASE_STAT
12,0.05,BASE_STAT
13,0.1,FROST_DAMAGE
14,0.02,BASE_STAT
15,0.1,PROJECTILE_SPEED
16,0.05,BASE_STAT
17,0.02,BASE_STAT
18,0.05,BASE_STAT
19,0.05,BASE_STAT
20,0.1,PROJECTILE_SPEED
21,0.02,BASE_STAT
22,0.1,BASE_STAT
23,0.02,BASE_STAT
24,0.05,BASE_STAT
25,0.05,BASE_STAT
26,0.1,PROJECTILE_SPEED
27,0.1,FROST_DAMAGE
28,0.1,PROJECTILE_SPEED
29,0.02,BASE_STAT
30,0.2,PROJECTILE_SPEED
31,0.02,BASE_STAT
