30
LEVEL,BOOST_VALUE,BOOST_TYPE
1,0.05,COOL_DOWN
2,0.05,BASE_STAT
3,0.05,COOL_DOWN
4,0.1,FROST_DAMAGE
5,25,BASE_STAT
6,0.05,BASE_STAT
7,25,BASE_STAT
8,0.1,PROJECTILE_SPEED
9,25,BASE_STAT
10,25,BASE_STAT
11,0.05,BASE_STAT
12,0.1,FROST_DAMAGE
13,0.02,BASE_STAT
14,0.05,BASE_STAT
15,0.05,BASE_STAT
16,0.02,BASE_STAT
17,0.05,BASE_STAT
18,0.05,BASE_STAT
19,0.1,PROJECTILE_SPEED
20,0.02,BASE_STAT
21,0.1,BASE_STAT
22,0.05,BASE_STAT
23,0.02,BASE_STAT
24,0.1,BASE_STAT
25,0.05,BASE_STAT
26,0.1,FROST_DAMAGE
27,0.02,BASE_STAT
28,0.05,BASE_STAT
29,0.1,PROJECTILE_SPEED
30,0.02,BASE_STAT
