1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,249,10,25,0,0,0,4.2,0,1,0
2,251,10,25,0,0,0,4.2,0,1,0
3,253,10,25,0,0,0,4.2,0,1,0
4,255,10,25,0,0,0,4.2,0,1,0
5,257,10,25,0,0,0,4.2,0,1,0
6,259,10,25,0,0,0,4.2,0,1,0
7,261,10,25,0,0,0,4.2,0,1,0
8,263,10,25,0,0,0,4.2,0,1,0
9,265,10,25,0,0,0,4.2,0,1,0
10,267,10,25,0,0,0,4.2,0,1,0
11,269,10,25,0,0,0,4.2,0,1,0
12,271,10,25,0,0,0,4.2,0,1,0
13,273,10,25,0,0,0,4.2,0,1,0
14,275,10,25,0,0,0,4.2,0,1,0
15,277,10,25,0,0,0,4.2,0,1,0
16,279,10,25,0,0,0,4.2,0,1,0
17,281,10,25,0,0,0,4.2,0,1,0
18,283,10,25,0,0,0,4.2,0,1,0
19,285,10,25,0,0,0,4.2,0,1,0
20,287,10,25,0,0,0,4.2,0,1,0
21,289,10,25,0,0,0,4.2,0,1,0
22,291,10,25,0,0,0,4.2,0,1,0
23,293,10,25,0,0,0,4.2,0,1,0
24,295,10,25,0,0,0,4.2,0,1,0
25,297,10,25,0,0,0,4.2,0,1,0
26,299,10,25,0,0,0,4.2,0,1,0
27,301,10,25,0,0,0,4.2,0,1,0
28,303,10,25,0,0,0,4.2,0,1,0
29,305,10,25,0,0,0,4.2,0,1,0
30,307,10,25,0,0,0,4.2,0,1,0
31,309,10,25,0,0,0,4.2,0,1,0
32,311,10,25,0,0,0,4.2,0,1,0
33,313,10,25,0,0,0,4.2,0,1,0
34,315,10,25,0,0,0,4.2,0,1,0
35,317,10,25,0,0,0,4.2,0,1,0
36,319,10,25,0,0,0,4.2,0,1,0
37,321,10,25,0,0,0,4.2,0,1,0
38,323,10,25,0,0,0,4.2,0,1,0
39,325,10,25,0,0,0,4.2,0,1,0
40,327,10,25,0,0,0,4.2,0,1,0
41,329,10,25,0,0,0,4.2,0,1,0
42,331.22,10,25,0,0,0,4.2,0,1,0
43,333.44,10,25,0,0,0,4.2,0,1,0
44,335.66,10,25,0,0,0,4.2,0,1,0
45,337.88,10,25,0,0,0,4.2,0,1,0
46,340.1,10,25,0,0,0,4.2,0,1,0
47,342.32,10,25,0,0,0,4.2,0,1,0
48,344.54,10,25,0,0,0,4.2,0,1,0
49,346.76,10,25,0,0,0,4.2,0,1,0
50,348.98,10,25,0,0,0,4.2,0,1,0
