1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,307,10,25,0,0,0,4.2,0,1,0
2,314.88,10,25,0,0,0,4.2,0,1,0
3,322.76,10,25,0,0,0,4.2,0,1,0
4,330.64,10,25,0,0,0,4.2,0,1,0
5,338.52,10,25,0,0,0,4.2,0,1,0
6,346.4,10,25,0,0,0,4.2,0,1,0
7,354.28,10,25,0,0,0,4.2,0,1,0
8,362.16,10,25,0,0,0,4.2,0,1,0
9,370.04,10,25,0,0,0,4.2,0,1,0
10,377.92,10,25,0,0,0,4.2,0,1,0
11,385,10,25,0,0,0,4.2,0,1,0
12,392.88,10,25,0,0,0,4.2,0,1,0
13,400.76,10,25,0,0,0,4.2,0,1,0
14,408.64,10,25,0,0,0,4.2,0,1,0
15,416.52,10,25,0,0,0,4.2,0,1,0
16,424.4,10,25,0,0,0,4.2,0,1,0
17,432.28,10,25,0,0,0,4.2,0,1,0
18,440.16,10,25,0,0,0,4.2,0,1,0
19,448.04,10,25,0,0,0,4.2,0,1,0
20,455.92,10,25,0,0,0,4.2,0,1,0
21,463,10,25,0,0,0,4.2,0,1,0
22,470.77,10,25,0,0,0,4.2,0,1,0
23,478.54,10,25,0,0,0,4.2,0,1,0
24,486.31,10,25,0,0,0,4.2,0,1,0
25,494.08,10,25,0,0,0,4.2,0,1,0
26,501.85,10,25,0,0,0,4.2,0,1,0
27,509.62,10,25,0,0,0,4.2,0,1,0
28,517.39,10,25,0,0,0,4.2,0,1,0
29,525.16,10,25,0,0,0,4.2,0,1,0
30,532.93,10,25,0,0,0,4.2,0,1,0
31,541,10,25,0,0,0,4.2,0,1,0
32,548.77,10,25,0,0,0,4.2,0,1,0
33,556.54,10,25,0,0,0,4.2,0,1,0
34,564.31,10,25,0,0,0,4.2,0,1,0
35,572.08,10,25,0,0,0,4.2,0,1,0
36,579.85,10,25,0,0,0,4.2,0,1,0
37,587.62,10,25,0,0,0,4.2,0,1,0
38,595.39,10,25,0,0,0,4.2,0,1,0
39,603.16,10,25,0,0,0,4.2,0,1,0
40,610.93,10,25,0,0,0,4.2,0,1,0
41,619,10,25,0,0,0,4.2,0,1,0
42,627.66,10,25,0,0,0,4.2,0,1,0
43,636.32,10,25,0,0,0,4.2,0,1,0
44,644.98,10,25,0,0,0,4.2,0,1,0
45,653.64,10,25,0,0,0,4.2,0,1,0
46,662.3,10,25,0,0,0,4.2,0,1,0
47,670.96,10,25,0,0,0,4.2,0,1,0
48,679.62,10,25,0,0,0,4.2,0,1,0
49,688.28,10,25,0,0,0,4.2,0,1,0
50,696.94,10,25,0,0,0,4.2,0,1,0
