1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,578,10,25,0,0,0,4.2,0,1,0
2,583.22,10,25,0,0,0,4.2,0,1,0
3,588.44,10,25,0,0,0,4.2,0,1,0
4,593.66,10,25,0,0,0,4.2,0,1,0
5,598.88,10,25,0,0,0,4.2,0,1,0
6,604.1,10,25,0,0,0,4.2,0,1,0
7,609.32,10,25,0,0,0,4.2,0,1,0
8,614.54,10,25,0,0,0,4.2,0,1,0
9,619.76,10,25,0,0,0,4.2,0,1,0
10,624.98,10,25,0,0,0,4.2,0,1,0
11,629,10,25,0,0,0,4.2,0,1,0
12,634.22,10,25,0,0,0,4.2,0,1,0
13,639.44,10,25,0,0,0,4.2,0,1,0
14,644.66,10,25,0,0,0,4.2,0,1,0
15,649.88,10,25,0,0,0,4.2,0,1,0
16,655.1,10,25,0,0,0,4.2,0,1,0
17,660.32,10,25,0,0,0,4.2,0,1,0
18,665.54,10,25,0,0,0,4.2,0,1,0
19,670.76,10,25,0,0,0,4.2,0,1,0
20,675.98,10,25,0,0,0,4.2,0,1,0
21,681,10,25,0,0,0,4.2,0,1,0
22,686.11,10,25,0,0,0,4.2,0,1,0
23,691.22,10,25,0,0,0,4.2,0,1,0
24,696.33,10,25,0,0,0,4.2,0,1,0
25,701.44,10,25,0,0,0,4.2,0,1,0
26,706.55,10,25,0,0,0,4.2,0,1,0
27,711.66,10,25,0,0,0,4.2,0,1,0
28,716.77,10,25,0,0,0,4.2,0,1,0
29,721.88,10,25,0,0,0,4.2,0,1,0
30,726.99,10,25,0,0,0,4.2,0,1,0
31,732,10,25,0,0,0,4.2,0,1,0
32,737.22,10,25,0,0,0,4.2,0,1,0
33,742.44,10,25,0,0,0,4.2,0,1,0
34,747.66,10,25,0,0,0,4.2,0,1,0
35,752.88,10,25,0,0,0,4.2,0,1,0
36,758.1,10,25,0,0,0,4.2,0,1,0
37,763.32,10,25,0,0,0,4.2,0,1,0
38,768.54,10,25,0,0,0,4.2,0,1,0
39,773.76,10,25,0,0,0,4.2,0,1,0
40,778.98,10,25,0,0,0,4.2,0,1,0
41,783,10,25,0,0,0,4.2,0,1,0
42,788.88,10,25,0,0,0,4.2,0,1,0
43,794.76,10,25,0,0,0,4.2,0,1,0
44,800.64,10,25,0,0,0,4.2,0,1,0
45,806.52,10,25,0,0,0,4.2,0,1,0
46,812.4,10,25,0,0,0,4.2,0,1,0
47,818.28,10,25,0,0,0,4.2,0,1,0
48,824.16,10,25,0,0,0,4.2,0,1,0
49,830.04,10,25,0,0,0,4.2,0,1,0
50,835.92,10,25,0,0,0,4.2,0,1,0
