1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,282,10,25,0,0,0,4.2,0,1,0
2,287.77,10,25,0,0,0,4.2,0,1,0
3,293.54,10,25,0,0,0,4.2,0,1,0
4,299.31,10,25,0,0,0,4.2,0,1,0
5,305.08,10,25,0,0,0,4.2,0,1,0
6,310.85,10,25,0,0,0,4.2,0,1,0
7,316.62,10,25,0,0,0,4.2,0,1,0
8,322.39,10,25,0,0,0,4.2,0,1,0
9,328.16,10,25,0,0,0,4.2,0,1,0
10,333.93,10,25,0,0,0,4.2,0,1,0
11,340,10,25,0,0,0,4.2,0,1,0
12,345.77,10,25,0,0,0,4.2,0,1,0
13,351.54,10,25,0,0,0,4.2,0,1,0
14,357.31,10,25,0,0,0,4.2,0,1,0
15,363.08,10,25,0,0,0,4.2,0,1,0
16,368.85,10,25,0,0,0,4.2,0,1,0
17,374.62,10,25,0,0,0,4.2,0,1,0
18,380.39,10,25,0,0,0,4.2,0,1,0
19,386.16,10,25,0,0,0,4.2,0,1,0
20,391.93,10,25,0,0,0,4.2,0,1,0
21,398,10,25,0,0,0,4.2,0,1,0
22,403.77,10,25,0,0,0,4.2,0,1,0
23,409.54,10,25,0,0,0,4.2,0,1,0
24,415.31,10,25,0,0,0,4.2,0,1,0
25,421.08,10,25,0,0,0,4.2,0,1,0
26,426.85,10,25,0,0,0,4.2,0,1,0
27,432.62,10,25,0,0,0,4.2,0,1,0
28,438.39,10,25,0,0,0,4.2,0,1,0
29,444.16,10,25,0,0,0,4.2,0,1,0
30,449.93,10,25,0,0,0,4.2,0,1,0
31,456,10,25,0,0,0,4.2,0,1,0
32,461.77,10,25,0,0,0,4.2,0,1,0
33,467.54,10,25,0,0,0,4.2,0,1,0
34,473.31,10,25,0,0,0,4.2,0,1,0
35,479.08,10,25,0,0,0,4.2,0,1,0
36,484.85,10,25,0,0,0,4.2,0,1,0
37,490.62,10,25,0,0,0,4.2,0,1,0
38,496.39,10,25,0,0,0,4.2,0,1,0
39,502.16,10,25,0,0,0,4.2,0,1,0
40,507.93,10,25,0,0,0,4.2,0,1,0
41,513,10,25,0,0,0,4.2,0,1,0
42,519.44,10,25,0,0,0,4.2,0,1,0
43,525.88,10,25,0,0,0,4.2,0,1,0
44,532.32,10,25,0,0,0,4.2,0,1,0
45,538.76,10,25,0,0,0,4.2,0,1,0
46,545.2,10,25,0,0,0,4.2,0,1,0
47,551.64,10,25,0,0,0,4.2,0,1,0
48,558.08,10,25,0,0,0,4.2,0,1,0
49,564.52,10,25,0,0,0,4.2,0,1,0
50,570.96,10,25,0,0,0,4.2,0,1,0
