1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,266,10,25,0,0,0,4.2,0,1,0
2,270.11,10,25,0,0,0,4.2,0,1,0
3,274.22,10,25,0,0,0,4.2,0,1,0
4,278.33,10,25,0,0,0,4.2,0,1,0
5,282.44,10,25,0,0,0,4.2,0,1,0
6,286.55,10,25,0,0,0,4.2,0,1,0
7,290.66,10,25,0,0,0,4.2,0,1,0
8,294.77,10,25,0,0,0,4.2,0,1,0
9,298.88,10,25,0,0,0,4.2,0,1,0
10,302.99,10,25,0,0,0,4.2,0,1,0
11,306,10,25,0,0,0,4.2,0,1,0
12,310.11,10,25,0,0,0,4.2,0,1,0
13,314.22,10,25,0,0,0,4.2,0,1,0
14,318.33,10,25,0,0,0,4.2,0,1,0
15,322.44,10,25,0,0,0,4.2,0,1,0
16,326.55,10,25,0,0,0,4.2,0,1,0
17,330.66,10,25,0,0,0,4.2,0,1,0
18,334.77,10,25,0,0,0,4.2,0,1,0
19,338.88,10,25,0,0,0,4.2,0,1,0
20,342.99,10,25,0,0,0,4.2,0,1,0
21,347,10,25,0,0,0,4.2,0,1,0
22,351.11,10,25,0,0,0,4.2,0,1,0
23,355.22,10,25,0,0,0,4.2,0,1,0
24,359.33,10,25,0,0,0,4.2,0,1,0
25,363.44,10,25,0,0,0,4.2,0,1,0
26,367.55,10,25,0,0,0,4.2,0,1,0
27,371.66,10,25,0,0,0,4.2,0,1,0
28,375.77,10,25,0,0,0,4.2,0,1,0
29,379.88,10,25,0,0,0,4.2,0,1,0
30,383.99,10,25,0,0,0,4.2,0,1,0
31,388,10,25,0,0,0,4.2,0,1,0
32,392.11,10,25,0,0,0,4.2,0,1,0
33,396.22,10,25,0,0,0,4.2,0,1,0
34,400.33,10,25,0,0,0,4.2,0,1,0
35,404.44,10,25,0,0,0,4.2,0,1,0
36,408.55,10,25,0,0,0,4.2,0,1,0
37,412.66,10,25,0,0,0,4.2,0,1,0
38,416.77,10,25,0,0,0,4.2,0,1,0
39,420.88,10,25,0,0,0,4.2,0,1,0
40,424.99,10,25,0,0,0,4.2,0,1,0
41,429,10,25,0,0,0,4.2,0,1,0
42,433.55,10,25,0,0,0,4.2,0,1,0
43,438.1,10,25,0,0,0,4.2,0,1,0
44,442.65,10,25,0,0,0,4.2,0,1,0
45,447.2,10,25,0,0,0,4.2,0,1,0
46,451.75,10,25,0,0,0,4.2,0,1,0
47,456.3,10,25,0,0,0,4.2,0,1,0
48,460.85,10,25,0,0,0,4.2,0,1,0
49,465.4,10,25,0,0,0,4.2,0,1,0
50,469.95,10,25,0,0,0,4.2,0,1,0
