1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,38,0,0,0,0,0,0,0,0,0
2,38.33,0,0,0,0,0,0,0,0,0
3,38.66,0,0,0,0,0,0,0,0,0
4,38.99,0,0,0,0,0,0,0,0,0
5,39.32,0,0,0,0,0,0,0,0,0
6,39.65,0,0,0,0,0,0,0,0,0
7,39.98,0,0,0,0,0,0,0,0,0
8,40.31,0,0,0,0,0,0,0,0,0
9,40.64,0,0,0,0,0,0,0,0,0
10,40.97,0,0,0,0,0,0,0,0,0
11,41,0,0,0,0,0,0,0,0,0
12,41.33,0,0,0,0,0,0,0,0,0
13,41.66,0,0,0,0,0,0,0,0,0
14,41.99,0,0,0,0,0,0,0,0,0
15,42.32,0,0,0,0,0,0,0,0,0
16,42.65,0,0,0,0,0,0,0,0,0
17,42.98,0,0,0,0,0,0,0,0,0
18,43.31,0,0,0,0,0,0,0,0,0
19,43.64,0,0,0,0,0,0,0,0,0
20,43.97,0,0,0,0,0,0,0,0,0
21,44,0,0,0,0,0,0,0,0,0
22,44.44,0,0,0,0,0,0,0,0,0
23,44.88,0,0,0,0,0,0,0,0,0
24,45.32,0,0,0,0,0,0,0,0,0
25,45.76,0,0,0,0,0,0,0,0,0
26,46.2,0,0,0,0,0,0,0,0,0
27,46.64,0,0,0,0,0,0,0,0,0
28,47.08,0,0,0,0,0,0,0,0,0
29,47.52,0,0,0,0,0,0,0,0,0
30,47.96,0,0,0,0,0,0,0,0,0
31,48,0,0,0,0,0,0,0,0,0
32,48.33,0,0,0,0,0,0,0,0,0
33,48.66,0,0,0,0,0,0,0,0,0
34,48.99,0,0,0,0,0,0,0,0,0
35,49.32,0,0,0,0,0,0,0,0,0
36,49.65,0,0,0,0,0,0,0,0,0
37,49.98,0,0,0,0,0,0,0,0,0
38,50.31,0,0,0,0,0,0,0,0,0
39,50.64,0,0,0,0,0,0,0,0,0
40,50.97,0,0,0,0,0,0,0,0,0
41,51,0,0,0,0,0,0,0,0,0
42,51.22,0,0,0,0,0,0,0,0,0
43,51.44,0,0,0,0,0,0,0,0,0
44,51.66,0,0,0,0,0,0,0,0,0
45,51.88,0,0,0,0,0,0,0,0,0
46,52.1,0,0,0,0,0,0,0,0,0
47,52.32,0,0,0,0,0,0,0,0,0
48,52.54,0,0,0,0,0,0,0,0,0
49,52.76,0,0,0,0,0,0,0,0,0
50,52.98,0,0,0,0,0,0,0,0,0
