1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,47,0,0,0,0,0,0,0,0,0
2,48.33,0,0,0,0,0,0,0,0,0
3,49.66,0,0,0,0,0,0,0,0,0
4,50.99,0,0,0,0,0,0,0,0,0
5,52.32,0,0,0,0,0,0,0,0,0
6,53.65,0,0,0,0,0,0,0,0,0
7,54.98,0,0,0,0,0,0,0,0,0
8,56.31,0,0,0,0,0,0,0,0,0
9,57.64,0,0,0,0,0,0,0,0,0
10,58.97,0,0,0,0,0,0,0,0,0
11,59,0,0,0,0,0,0,0,0,0
12,60.33,0,0,0,0,0,0,0,0,0
13,61.66,0,0,0,0,0,0,0,0,0
14,62.99,0,0,0,0,0,0,0,0,0
15,64.32,0,0,0,0,0,0,0,0,0
16,65.65,0,0,0,0,0,0,0,0,0
17,66.98,0,0,0,0,0,0,0,0,0
18,68.31,0,0,0,0,0,0,0,0,0
19,69.64,0,0,0,0,0,0,0,0,0
20,70.97,0,0,0,0,0,0,0,0,0
21,71,0,0,0,0,0,0,0,0,0
22,72.33,0,0,0,0,0,0,0,0,0
23,73.66,0,0,0,0,0,0,0,0,0
24,74.99,0,0,0,0,0,0,0,0,0
25,76.32,0,0,0,0,0,0,0,0,0
26,77.65,0,0,0,0,0,0,0,0,0
27,78.98,0,0,0,0,0,0,0,0,0
28,80.31,0,0,0,0,0,0,0,0,0
29,81.64,0,0,0,0,0,0,0,0,0
30,82.97,0,0,0,0,0,0,0,0,0
31,83,0,0,0,0,0,0,0,0,0
32,84.22,0,0,0,0,0,0,0,0,0
33,85.44,0,0,0,0,0,0,0,0,0
34,86.66,0,0,0,0,0,0,0,0,0
35,87.88,0,0,0,0,0,0,0,0,0
36,89.1,0,0,0,0,0,0,0,0,0
37,90.32,0,0,0,0,0,0,0,0,0
38,91.54,0,0,0,0,0,0,0,0,0
39,92.76,0,0,0,0,0,0,0,0,0
40,93.98,0,0,0,0,0,0,0,0,0
41,94,0,0,0,0,0,0,0,0,0
42,95.22,0,0,0,0,0,0,0,0,0
43,96.44,0,0,0,0,0,0,0,0,0
44,97.66,0,0,0,0,0,0,0,0,0
45,98.88,0,0,0,0,0,0,0,0,0
46,100.1,0,0,0,0,0,0,0,0,0
47,101.32,0,0,0,0,0,0,0,0,0
48,102.54,0,0,0,0,0,0,0,0,0
49,103.76,0,0,0,0,0,0,0,0,0
50,104.98,0,0,0,0,0,0,0,0,0
