1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,87,0,0,0,0,0,0,0,0,0
2,87.88,0,0,0,0,0,0,0,0,0
3,88.76,0,0,0,0,0,0,0,0,0
4,89.64,0,0,0,0,0,0,0,0,0
5,90.52,0,0,0,0,0,0,0,0,0
6,91.4,0,0,0,0,0,0,0,0,0
7,92.28,0,0,0,0,0,0,0,0,0
8,93.16,0,0,0,0,0,0,0,0,0
9,94.04,0,0,0,0,0,0,0,0,0
10,94.92,0,0,0,0,0,0,0,0,0
11,95,0,0,0,0,0,0,0,0,0
12,95.88,0,0,0,0,0,0,0,0,0
13,96.76,0,0,0,0,0,0,0,0,0
14,97.64,0,0,0,0,0,0,0,0,0
15,98.52,0,0,0,0,0,0,0,0,0
16,99.4,0,0,0,0,0,0,0,0,0
17,100.28,0,0,0,0,0,0,0,0,0
18,101.16,0,0,0,0,0,0,0,0,0
19,102.04,0,0,0,0,0,0,0,0,0
20,102.92,0,0,0,0,0,0,0,0,0
21,103,0,0,0,0,0,0,0,0,0
22,103.77,0,0,0,0,0,0,0,0,0
23,104.54,0,0,0,0,0,0,0,0,0
24,105.31,0,0,0,0,0,0,0,0,0
25,106.08,0,0,0,0,0,0,0,0,0
26,106.85,0,0,0,0,0,0,0,0,0
27,107.62,0,0,0,0,0,0,0,0,0
28,108.39,0,0,0,0,0,0,0,0,0
29,109.16,0,0,0,0,0,0,0,0,0
30,109.93,0,0,0,0,0,0,0,0,0
31,110,0,0,0,0,0,0,0,0,0
32,110.88,0,0,0,0,0,0,0,0,0
33,111.76,0,0,0,0,0,0,0,0,0
34,112.64,0,0,0,0,0,0,0,0,0
35,113.52,0,0,0,0,0,0,0,0,0
36,114.4,0,0,0,0,0,0,0,0,0
37,115.28,0,0,0,0,0,0,0,0,0
38,116.16,0,0,0,0,0,0,0,0,0
39,117.04,0,0,0,0,0,0,0,0,0
40,117.92,0,0,0,0,0,0,0,0,0
41,118,0,0,0,0,0,0,0,0,0
42,118.88,0,0,0,0,0,0,0,0,0
43,119.76,0,0,0,0,0,0,0,0,0
44,120.64,0,0,0,0,0,0,0,0,0
45,121.52,0,0,0,0,0,0,0,0,0
46,122.4,0,0,0,0,0,0,0,0,0
47,123.28,0,0,0,0,0,0,0,0,0
48,124.16,0,0,0,0,0,0,0,0,0
49,125.04,0,0,0,0,0,0,0,0,0
50,125.92,0,0,0,0,0,0,0,0,0
