1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,43,0,0,0,0,0,0,0,0,0
2,44,0,0,0,0,0,0,0,0,0
3,45,0,0,0,0,0,0,0,0,0
4,46,0,0,0,0,0,0,0,0,0
5,47,0,0,0,0,0,0,0,0,0
6,48,0,0,0,0,0,0,0,0,0
7,49,0,0,0,0,0,0,0,0,0
8,50,0,0,0,0,0,0,0,0,0
9,51,0,0,0,0,0,0,0,0,0
10,52,0,0,0,0,0,0,0,0,0
11,52,0,0,0,0,0,0,0,0,0
12,53,0,0,0,0,0,0,0,0,0
13,54,0,0,0,0,0,0,0,0,0
14,55,0,0,0,0,0,0,0,0,0
15,56,0,0,0,0,0,0,0,0,0
16,57,0,0,0,0,0,0,0,0,0
17,58,0,0,0,0,0,0,0,0,0
18,59,0,0,0,0,0,0,0,0,0
19,60,0,0,0,0,0,0,0,0,0
20,61,0,0,0,0,0,0,0,0,0
21,61,0,0,0,0,0,0,0,0,0
22,62,0,0,0,0,0,0,0,0,0
23,63,0,0,0,0,0,0,0,0,0
24,64,0,0,0,0,0,0,0,0,0
25,65,0,0,0,0,0,0,0,0,0
26,66,0,0,0,0,0,0,0,0,0
27,67,0,0,0,0,0,0,0,0,0
28,68,0,0,0,0,0,0,0,0,0
29,69,0,0,0,0,0,0,0,0,0
30,70,0,0,0,0,0,0,0,0,0
31,70,0,0,0,0,0,0,0,0,0
32,71,0,0,0,0,0,0,0,0,0
33,72,0,0,0,0,0,0,0,0,0
34,73,0,0,0,0,0,0,0,0,0
35,74,0,0,0,0,0,0,0,0,0
36,75,0,0,0,0,0,0,0,0,0
37,76,0,0,0,0,0,0,0,0,0
38,77,0,0,0,0,0,0,0,0,0
39,78,0,0,0,0,0,0,0,0,0
40,79,0,0,0,0,0,0,0,0,0
41,79,0,0,0,0,0,0,0,0,0
42,79.77,0,0,0,0,0,0,0,0,0
43,80.54,0,0,0,0,0,0,0,0,0
44,81.31,0,0,0,0,0,0,0,0,0
45,82.08,0,0,0,0,0,0,0,0,0
46,82.85,0,0,0,0,0,0,0,0,0
47,83.62,0,0,0,0,0,0,0,0,0
48,84.39,0,0,0,0,0,0,0,0,0
49,85.16,0,0,0,0,0,0,0,0,0
50,85.93,0,0,0,0,0,0,0,0,0
