1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,40,0,0,0,0,0,0,0,0,0
2,40.77,0,0,0,0,0,0,0,0,0
3,41.54,0,0,0,0,0,0,0,0,0
4,42.31,0,0,0,0,0,0,0,0,0
5,43.08,0,0,0,0,0,0,0,0,0
6,43.85,0,0,0,0,0,0,0,0,0
7,44.62,0,0,0,0,0,0,0,0,0
8,45.39,0,0,0,0,0,0,0,0,0
9,46.16,0,0,0,0,0,0,0,0,0
10,46.93,0,0,0,0,0,0,0,0,0
11,47,0,0,0,0,0,0,0,0,0
12,47.66,0,0,0,0,0,0,0,0,0
13,48.32,0,0,0,0,0,0,0,0,0
14,48.98,0,0,0,0,0,0,0,0,0
15,49.64,0,0,0,0,0,0,0,0,0
16,50.3,0,0,0,0,0,0,0,0,0
17,50.96,0,0,0,0,0,0,0,0,0
18,51.62,0,0,0,0,0,0,0,0,0
19,52.28,0,0,0,0,0,0,0,0,0
20,52.94,0,0,0,0,0,0,0,0,0
21,53,0,0,0,0,0,0,0,0,0
22,53.77,0,0,0,0,0,0,0,0,0
23,54.54,0,0,0,0,0,0,0,0,0
24,55.31,0,0,0,0,0,0,0,0,0
25,56.08,0,0,0,0,0,0,0,0,0
26,56.85,0,0,0,0,0,0,0,0,0
27,57.62,0,0,0,0,0,0,0,0,0
28,58.39,0,0,0,0,0,0,0,0,0
29,59.16,0,0,0,0,0,0,0,0,0
30,59.93,0,0,0,0,0,0,0,0,0
31,60,0,0,0,0,0,0,0,0,0
32,60.66,0,0,0,0,0,0,0,0,0
33,61.32,0,0,0,0,0,0,0,0,0
34,61.98,0,0,0,0,0,0,0,0,0
35,62.64,0,0,0,0,0,0,0,0,0
36,63.3,0,0,0,0,0,0,0,0,0
37,63.96,0,0,0,0,0,0,0,0,0
38,64.62,0,0,0,0,0,0,0,0,0
39,65.28,0,0,0,0,0,0,0,0,0
40,65.94,0,0,0,0,0,0,0,0,0
41,66,0,0,0,0,0,0,0,0,0
42,66.77,0,0,0,0,0,0,0,0,0
43,67.54,0,0,0,0,0,0,0,0,0
44,68.31,0,0,0,0,0,0,0,0,0
45,69.08,0,0,0,0,0,0,0,0,0
46,69.85,0,0,0,0,0,0,0,0,0
47,70.62,0,0,0,0,0,0,0,0,0
48,71.39,0,0,0,0,0,0,0,0,0
49,72.16,0,0,0,0,0,0,0,0,0
50,72.93,0,0,0,0,0,0,0,0,0
