2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,83,0,0,0,0,0,0,0,0,0
2,85.22,0,0,0,0,0,0,0,0,0
3,87.44,0,0,0,0,0,0,0,0,0
4,89.66,0,0,0,0,0,0,0,0,0
5,91.88,0,0,0,0,0,0,0,0,0
6,94.1,0,0,0,0,0,0,0,0,0
7,96.32,0,0,0,0,0,0,0,0,0
8,98.54,0,0,0,0,0,0,0,0,0
9,100.76,0,0,0,0,0,0,0,0,0
10,102.98,0,0,0,0,0,0,0,0,0
11,104,0,0,0,0,0,0,0,0,0
12,106.22,0,0,0,0,0,0,0,0,0
13,108.44,0,0,0,0,0,0,0,0,0
14,110.66,0,0,0,0,0,0,0,0,0
15,112.88,0,0,0,0,0,0,0,0,0
16,115.1,0,0,0,0,0,0,0,0,0
17,117.32,0,0,0,0,0,0,0,0,0
18,119.54,0,0,0,0,0,0,0,0,0
19,121.76,0,0,0,0,0,0,0,0,0
20,123.98,0,0,0,0,0,0,0,0,0
21,125,0,0,0,0,0,0,0,0,0
22,127.22,0,0,0,0,0,0,0,0,0
23,129.44,0,0,0,0,0,0,0,0,0
24,131.66,0,0,0,0,0,0,0,0,0
25,133.88,0,0,0,0,0,0,0,0,0
26,136.1,0,0,0,0,0,0,0,0,0
27,138.32,0,0,0,0,0,0,0,0,0
28,140.54,0,0,0,0,0,0,0,0,0
29,142.76,0,0,0,0,0,0,0,0,0
30,144.98,0,0,0,0,0,0,0,0,0
31,146,0,0,0,0,0,0,0,0,0
32,148.22,0,0,0,0,0,0,0,0,0
33,150.44,0,0,0,0,0,0,0,0,0
34,152.66,0,0,0,0,0,0,0,0,0
35,154.88,0,0,0,0,0,0,0,0,0
36,157.1,0,0,0,0,0,0,0,0,0
37,159.32,0,0,0,0,0,0,0,0,0
38,161.54,0,0,0,0,0,0,0,0,0
39,163.76,0,0,0,0,0,0,0,0,0
40,165.98,0,0,0,0,0,0,0,0,0
41,167,0,0,0,0,0,0,0,0,0
42,169.33,0,0,0,0,0,0,0,0,0
43,171.66,0,0,0,0,0,0,0,0,0
44,173.99,0,0,0,0,0,0,0,0,0
45,176.32,0,0,0,0,0,0,0,0,0
46,178.65,0,0,0,0,0,0,0,0,0
47,180.98,0,0,0,0,0,0,0,0,0
48,183.31,0,0,0,0,0,0,0,0,0
49,185.64,0,0,0,0,0,0,0,0,0
50,187.97,0,0,0,0,0,0,0,0,0
