2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,156,0,0,0,0,0,0,0,0,0
2,157.33,0,0,0,0,0,0,0,0,0
3,158.66,0,0,0,0,0,0,0,0,0
4,159.99,0,0,0,0,0,0,0,0,0
5,161.32,0,0,0,0,0,0,0,0,0
6,162.65,0,0,0,0,0,0,0,0,0
7,163.98,0,0,0,0,0,0,0,0,0
8,165.31,0,0,0,0,0,0,0,0,0
9,166.64,0,0,0,0,0,0,0,0,0
10,167.97,0,0,0,0,0,0,0,0,0
11,170,0,0,0,0,0,0,0,0,0
12,171.33,0,0,0,0,0,0,0,0,0
13,172.66,0,0,0,0,0,0,0,0,0
14,173.99,0,0,0,0,0,0,0,0,0
15,175.32,0,0,0,0,0,0,0,0,0
16,176.65,0,0,0,0,0,0,0,0,0
17,177.98,0,0,0,0,0,0,0,0,0
18,179.31,0,0,0,0,0,0,0,0,0
19,180.64,0,0,0,0,0,0,0,0,0
20,181.97,0,0,0,0,0,0,0,0,0
21,183,0,0,0,0,0,0,0,0,0
22,184.44,0,0,0,0,0,0,0,0,0
23,185.88,0,0,0,0,0,0,0,0,0
24,187.32,0,0,0,0,0,0,0,0,0
25,188.76,0,0,0,0,0,0,0,0,0
26,190.2,0,0,0,0,0,0,0,0,0
27,191.64,0,0,0,0,0,0,0,0,0
28,193.08,0,0,0,0,0,0,0,0,0
29,194.52,0,0,0,0,0,0,0,0,0
30,195.96,0,0,0,0,0,0,0,0,0
31,197,0,0,0,0,0,0,0,0,0
32,198.33,0,0,0,0,0,0,0,0,0
33,199.66,0,0,0,0,0,0,0,0,0
34,200.99,0,0,0,0,0,0,0,0,0
35,202.32,0,0,0,0,0,0,0,0,0
36,203.65,0,0,0,0,0,0,0,0,0
37,204.98,0,0,0,0,0,0,0,0,0
38,206.31,0,0,0,0,0,0,0,0,0
39,207.64,0,0,0,0,0,0,0,0,0
40,208.97,0,0,0,0,0,0,0,0,0
41,210,0,0,0,0,0,0,0,0,0
42,211.66,0,0,0,0,0,0,0,0,0
43,213.32,0,0,0,0,0,0,0,0,0
44,214.98,0,0,0,0,0,0,0,0,0
45,216.64,0,0,0,0,0,0,0,0,0
46,218.3,0,0,0,0,0,0,0,0,0
47,219.96,0,0,0,0,0,0,0,0,0
48,221.62,0,0,0,0,0,0,0,0,0
49,223.28,0,0,0,0,0,0,0,0,0
50,224.94,0,0,0,0,0,0,0,0,0
