2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,475,15.6,25,0,0,0,3.3,0,1,0
2,478.88,15.6,25,0,0,0,3.3,0,1,0
3,482.76,15.6,25,0,0,0,3.3,0,1,0
4,486.64,15.6,25,0,0,0,3.3,0,1,0
5,490.52,15.6,25,0,0,0,3.3,0,1,0
6,494.4,15.6,25,0,0,0,3.3,0,1,0
7,498.28,15.6,25,0,0,0,3.3,0,1,0
8,502.16,15.6,25,0,0,0,3.3,0,1,0
9,506.04,15.6,25,0,0,0,3.3,0,1,0
10,509.92,15.6,25,0,0,0,3.3,0,1,0
11,513,15.6,25,0,0,0,3.3,0,1,0
12,516.88,15.6,25,0,0,0,3.3,0,1,0
13,520.76,15.6,25,0,0,0,3.3,0,1,0
14,524.64,15.6,25,0,0,0,3.3,0,1,0
15,528.52,15.6,25,0,0,0,3.3,0,1,0
16,532.4,15.6,25,0,0,0,3.3,0,1,0
17,536.28,15.6,25,0,0,0,3.3,0,1,0
18,540.16,15.6,25,0,0,0,3.3,0,1,0
19,544.04,15.6,25,0,0,0,3.3,0,1,0
20,547.92,15.6,25,0,0,0,3.3,0,1,0
21,551,15.6,25,0,0,0,3.3,0,1,0
22,554.88,15.6,25,0,0,0,3.3,0,1,0
23,558.76,15.6,25,0,0,0,3.3,0,1,0
24,562.64,15.6,25,0,0,0,3.3,0,1,0
25,566.52,15.6,25,0,0,0,3.3,0,1,0
26,570.4,15.6,25,0,0,0,3.3,0,1,0
27,574.28,15.6,25,0,0,0,3.3,0,1,0
28,578.16,15.6,25,0,0,0,3.3,0,1,0
29,582.04,15.6,25,0,0,0,3.3,0,1,0
30,585.92,15.6,25,0,0,0,3.3,0,1,0
31,589,15.6,25,0,0,0,3.3,0,1,0
32,592.88,15.6,25,0,0,0,3.3,0,1,0
33,596.76,15.6,25,0,0,0,3.3,0,1,0
34,600.64,15.6,25,0,0,0,3.3,0,1,0
35,604.52,15.6,25,0,0,0,3.3,0,1,0
36,608.4,15.6,25,0,0,0,3.3,0,1,0
37,612.28,15.6,25,0,0,0,3.3,0,1,0
38,616.16,15.6,25,0,0,0,3.3,0,1,0
39,620.04,15.6,25,0,0,0,3.3,0,1,0
40,623.92,15.6,25,0,0,0,3.3,0,1,0
41,627,15.6,25,0,0,0,3.3,0,1,0
42,631.11,15.6,25,0,0,0,3.3,0,1,0
43,635.22,15.6,25,0,0,0,3.3,0,1,0
44,639.33,15.6,25,0,0,0,3.3,0,1,0
45,643.44,15.6,25,0,0,0,3.3,0,1,0
46,647.55,15.6,25,0,0,0,3.3,0,1,0
47,651.66,15.6,25,0,0,0,3.3,0,1,0
48,655.77,15.6,25,0,0,0,3.3,0,1,0
49,659.88,15.6,25,0,0,0,3.3,0,1,0
50,663.99,15.6,25,0,0,0,3.3,0,1,0
