2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,586,15.6,25,0,0,0,3.3,0,1,0
2,600.88,15.6,25,0,0,0,3.3,0,1,0
3,615.76,15.6,25,0,0,0,3.3,0,1,0
4,630.64,15.6,25,0,0,0,3.3,0,1,0
5,645.52,15.6,25,0,0,0,3.3,0,1,0
6,660.4,15.6,25,0,0,0,3.3,0,1,0
7,675.28,15.6,25,0,0,0,3.3,0,1,0
8,690.16,15.6,25,0,0,0,3.3,0,1,0
9,705.04,15.6,25,0,0,0,3.3,0,1,0
10,719.92,15.6,25,0,0,0,3.3,0,1,0
11,734,15.6,25,0,0,0,3.3,0,1,0
12,748.88,15.6,25,0,0,0,3.3,0,1,0
13,763.76,15.6,25,0,0,0,3.3,0,1,0
14,778.64,15.6,25,0,0,0,3.3,0,1,0
15,793.52,15.6,25,0,0,0,3.3,0,1,0
16,808.4,15.6,25,0,0,0,3.3,0,1,0
17,823.28,15.6,25,0,0,0,3.3,0,1,0
18,838.16,15.6,25,0,0,0,3.3,0,1,0
19,853.04,15.6,25,0,0,0,3.3,0,1,0
20,867.92,15.6,25,0,0,0,3.3,0,1,0
21,882,15.6,25,0,0,0,3.3,0,1,0
22,896.88,15.6,25,0,0,0,3.3,0,1,0
23,911.76,15.6,25,0,0,0,3.3,0,1,0
24,926.64,15.6,25,0,0,0,3.3,0,1,0
25,941.52,15.6,25,0,0,0,3.3,0,1,0
26,956.4,15.6,25,0,0,0,3.3,0,1,0
27,971.28,15.6,25,0,0,0,3.3,0,1,0
28,986.16,15.6,25,0,0,0,3.3,0,1,0
29,1001.04,15.6,25,0,0,0,3.3,0,1,0
30,1015.92,15.6,25,0,0,0,3.3,0,1,0
31,1030,15.6,25,0,0,0,3.3,0,1,0
32,1044.88,15.6,25,0,0,0,3.3,0,1,0
33,1059.76,15.6,25,0,0,0,3.3,0,1,0
34,1074.64,15.6,25,0,0,0,3.3,0,1,0
35,1089.52,15.6,25,0,0,0,3.3,0,1,0
36,1104.4,15.6,25,0,0,0,3.3,0,1,0
37,1119.28,15.6,25,0,0,0,3.3,0,1,0
38,1134.16,15.6,25,0,0,0,3.3,0,1,0
39,1149.04,15.6,25,0,0,0,3.3,0,1,0
40,1163.92,15.6,25,0,0,0,3.3,0,1,0
41,1178,15.6,25,0,0,0,3.3,0,1,0
42,1194.55,15.6,25,0,0,0,3.3,0,1,0
43,1211.1,15.6,25,0,0,0,3.3,0,1,0
44,1227.65,15.6,25,0,0,0,3.3,0,1,0
45,1244.2,15.6,25,0,0,0,3.3,0,1,0
46,1260.75,15.6,25,0,0,0,3.3,0,1,0
47,1277.3,15.6,25,0,0,0,3.3,0,1,0
48,1293.85,15.6,25,0,0,0,3.3,0,1,0
49,1310.4,15.6,25,0,0,0,3.3,0,1,0
50,1326.95,15.6,25,0,0,0,3.3,0,1,0
