2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,536,15.6,25,0,0,0,3.3,0,1,0
2,547.11,15.6,25,0,0,0,3.3,0,1,0
3,558.22,15.6,25,0,0,0,3.3,0,1,0
4,569.33,15.6,25,0,0,0,3.3,0,1,0
5,580.44,15.6,25,0,0,0,3.3,0,1,0
6,591.55,15.6,25,0,0,0,3.3,0,1,0
7,602.66,15.6,25,0,0,0,3.3,0,1,0
8,613.77,15.6,25,0,0,0,3.3,0,1,0
9,624.88,15.6,25,0,0,0,3.3,0,1,0
10,635.99,15.6,25,0,0,0,3.3,0,1,0
11,646,15.6,25,0,0,0,3.3,0,1,0
12,657.11,15.6,25,0,0,0,3.3,0,1,0
13,668.22,15.6,25,0,0,0,3.3,0,1,0
14,679.33,15.6,25,0,0,0,3.3,0,1,0
15,690.44,15.6,25,0,0,0,3.3,0,1,0
16,701.55,15.6,25,0,0,0,3.3,0,1,0
17,712.66,15.6,25,0,0,0,3.3,0,1,0
18,723.77,15.6,25,0,0,0,3.3,0,1,0
19,734.88,15.6,25,0,0,0,3.3,0,1,0
20,745.99,15.6,25,0,0,0,3.3,0,1,0
21,757,15.6,25,0,0,0,3.3,0,1,0
22,768,15.6,25,0,0,0,3.3,0,1,0
23,779,15.6,25,0,0,0,3.3,0,1,0
24,790,15.6,25,0,0,0,3.3,0,1,0
25,801,15.6,25,0,0,0,3.3,0,1,0
26,812,15.6,25,0,0,0,3.3,0,1,0
27,823,15.6,25,0,0,0,3.3,0,1,0
28,834,15.6,25,0,0,0,3.3,0,1,0
29,845,15.6,25,0,0,0,3.3,0,1,0
30,856,15.6,25,0,0,0,3.3,0,1,0
31,867,15.6,25,0,0,0,3.3,0,1,0
32,878.11,15.6,25,0,0,0,3.3,0,1,0
33,889.22,15.6,25,0,0,0,3.3,0,1,0
34,900.33,15.6,25,0,0,0,3.3,0,1,0
35,911.44,15.6,25,0,0,0,3.3,0,1,0
36,922.55,15.6,25,0,0,0,3.3,0,1,0
37,933.66,15.6,25,0,0,0,3.3,0,1,0
38,944.77,15.6,25,0,0,0,3.3,0,1,0
39,955.88,15.6,25,0,0,0,3.3,0,1,0
40,966.99,15.6,25,0,0,0,3.3,0,1,0
41,977,15.6,25,0,0,0,3.3,0,1,0
42,989.33,15.6,25,0,0,0,3.3,0,1,0
43,1001.66,15.6,25,0,0,0,3.3,0,1,0
44,1013.99,15.6,25,0,0,0,3.3,0,1,0
45,1026.32,15.6,25,0,0,0,3.3,0,1,0
46,1038.65,15.6,25,0,0,0,3.3,0,1,0
47,1050.98,15.6,25,0,0,0,3.3,0,1,0
48,1063.31,15.6,25,0,0,0,3.3,0,1,0
49,1075.64,15.6,25,0,0,0,3.3,0,1,0
50,1087.97,15.6,25,0,0,0,3.3,0,1,0
