2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,505,15.6,25,0,0,0,3.3,0,1,0
2,512.77,15.6,25,0,0,0,3.3,0,1,0
3,520.54,15.6,25,0,0,0,3.3,0,1,0
4,528.31,15.6,25,0,0,0,3.3,0,1,0
5,536.08,15.6,25,0,0,0,3.3,0,1,0
6,543.85,15.6,25,0,0,0,3.3,0,1,0
7,551.62,15.6,25,0,0,0,3.3,0,1,0
8,559.39,15.6,25,0,0,0,3.3,0,1,0
9,567.16,15.6,25,0,0,0,3.3,0,1,0
10,574.93,15.6,25,0,0,0,3.3,0,1,0
11,583,15.6,25,0,0,0,3.3,0,1,0
12,590.77,15.6,25,0,0,0,3.3,0,1,0
13,598.54,15.6,25,0,0,0,3.3,0,1,0
14,606.31,15.6,25,0,0,0,3.3,0,1,0
15,614.08,15.6,25,0,0,0,3.3,0,1,0
16,621.85,15.6,25,0,0,0,3.3,0,1,0
17,629.62,15.6,25,0,0,0,3.3,0,1,0
18,637.39,15.6,25,0,0,0,3.3,0,1,0
19,645.16,15.6,25,0,0,0,3.3,0,1,0
20,652.93,15.6,25,0,0,0,3.3,0,1,0
21,661,15.6,25,0,0,0,3.3,0,1,0
22,668.77,15.6,25,0,0,0,3.3,0,1,0
23,676.54,15.6,25,0,0,0,3.3,0,1,0
24,684.31,15.6,25,0,0,0,3.3,0,1,0
25,692.08,15.6,25,0,0,0,3.3,0,1,0
26,699.85,15.6,25,0,0,0,3.3,0,1,0
27,707.62,15.6,25,0,0,0,3.3,0,1,0
28,715.39,15.6,25,0,0,0,3.3,0,1,0
29,723.16,15.6,25,0,0,0,3.3,0,1,0
30,730.93,15.6,25,0,0,0,3.3,0,1,0
31,739,15.6,25,0,0,0,3.3,0,1,0
32,746.77,15.6,25,0,0,0,3.3,0,1,0
33,754.54,15.6,25,0,0,0,3.3,0,1,0
34,762.31,15.6,25,0,0,0,3.3,0,1,0
35,770.08,15.6,25,0,0,0,3.3,0,1,0
36,777.85,15.6,25,0,0,0,3.3,0,1,0
37,785.62,15.6,25,0,0,0,3.3,0,1,0
38,793.39,15.6,25,0,0,0,3.3,0,1,0
39,801.16,15.6,25,0,0,0,3.3,0,1,0
40,808.93,15.6,25,0,0,0,3.3,0,1,0
41,817,15.6,25,0,0,0,3.3,0,1,0
42,825.44,15.6,25,0,0,0,3.3,0,1,0
43,833.88,15.6,25,0,0,0,3.3,0,1,0
44,842.32,15.6,25,0,0,0,3.3,0,1,0
45,850.76,15.6,25,0,0,0,3.3,0,1,0
46,859.2,15.6,25,0,0,0,3.3,0,1,0
47,867.64,15.6,25,0,0,0,3.3,0,1,0
48,876.08,15.6,25,0,0,0,3.3,0,1,0
49,884.52,15.6,25,0,0,0,3.3,0,1,0
50,892.96,15.6,25,0,0,0,3.3,0,1,0
