2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,476,0,0,0,0,0,0,0,0,0
2,479.89,0,0,0,0,0,0,0,0,0
3,483.78,0,0,0,0,0,0,0,0,0
4,487.67,0,0,0,0,0,0,0,0,0
5,491.56,0,0,0,0,0,0,0,0,0
6,495.45,0,0,0,0,0,0,0,0,0
7,499.34,0,0,0,0,0,0,0,0,0
8,503.23,0,0,0,0,0,0,0,0,0
9,507.12,0,0,0,0,0,0,0,0,0
10,511.01,0,0,0,0,0,0,0,0,0
11,514,0,0,0,0,0,0,0,0,0
12,517.89,0,0,0,0,0,0,0,0,0
13,521.78,0,0,0,0,0,0,0,0,0
14,525.67,0,0,0,0,0,0,0,0,0
15,529.56,0,0,0,0,0,0,0,0,0
16,533.45,0,0,0,0,0,0,0,0,0
17,537.34,0,0,0,0,0,0,0,0,0
18,541.23,0,0,0,0,0,0,0,0,0
19,545.12,0,0,0,0,0,0,0,0,0
20,549.01,0,0,0,0,0,0,0,0,0
21,552,0,0,0,0,0,0,0,0,0
22,555.89,0,0,0,0,0,0,0,0,0
23,559.78,0,0,0,0,0,0,0,0,0
24,563.67,0,0,0,0,0,0,0,0,0
25,567.56,0,0,0,0,0,0,0,0,0
26,571.45,0,0,0,0,0,0,0,0,0
27,575.34,0,0,0,0,0,0,0,0,0
28,579.23,0,0,0,0,0,0,0,0,0
29,583.12,0,0,0,0,0,0,0,0,0
30,587.01,0,0,0,0,0,0,0,0,0
31,590,0,0,0,0,0,0,0,0,0
32,593.89,0,0,0,0,0,0,0,0,0
33,597.78,0,0,0,0,0,0,0,0,0
34,601.67,0,0,0,0,0,0,0,0,0
35,605.56,0,0,0,0,0,0,0,0,0
36,609.45,0,0,0,0,0,0,0,0,0
37,613.34,0,0,0,0,0,0,0,0,0
38,617.23,0,0,0,0,0,0,0,0,0
39,621.12,0,0,0,0,0,0,0,0,0
40,625.01,0,0,0,0,0,0,0,0,0
41,628,0,0,0,0,0,0,0,0,0
42,632.33,0,0,0,0,0,0,0,0,0
43,636.66,0,0,0,0,0,0,0,0,0
44,640.99,0,0,0,0,0,0,0,0,0
45,645.32,0,0,0,0,0,0,0,0,0
46,649.65,0,0,0,0,0,0,0,0,0
47,653.98,0,0,0,0,0,0,0,0,0
48,658.31,0,0,0,0,0,0,0,0,0
49,662.64,0,0,0,0,0,0,0,0,0
50,666.97,0,0,0,0,0,0,0,0,0
