2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,1105,0,0,0,0,0,0,0,0,0
2,1115,0,0,0,0,0,0,0,0,0
3,1125,0,0,0,0,0,0,0,0,0
4,1135,0,0,0,0,0,0,0,0,0
5,1145,0,0,0,0,0,0,0,0,0
6,1155,0,0,0,0,0,0,0,0,0
7,1165,0,0,0,0,0,0,0,0,0
8,1175,0,0,0,0,0,0,0,0,0
9,1185,0,0,0,0,0,0,0,0,0
10,1195,0,0,0,0,0,0,0,0,0
11,1204,0,0,0,0,0,0,0,0,0
12,1214,0,0,0,0,0,0,0,0,0
13,1224,0,0,0,0,0,0,0,0,0
14,1234,0,0,0,0,0,0,0,0,0
15,1244,0,0,0,0,0,0,0,0,0
16,1254,0,0,0,0,0,0,0,0,0
17,1264,0,0,0,0,0,0,0,0,0
18,1274,0,0,0,0,0,0,0,0,0
19,1284,0,0,0,0,0,0,0,0,0
20,1294,0,0,0,0,0,0,0,0,0
21,1303,0,0,0,0,0,0,0,0,0
22,1313,0,0,0,0,0,0,0,0,0
23,1323,0,0,0,0,0,0,0,0,0
24,1333,0,0,0,0,0,0,0,0,0
25,1343,0,0,0,0,0,0,0,0,0
26,1353,0,0,0,0,0,0,0,0,0
27,1363,0,0,0,0,0,0,0,0,0
28,1373,0,0,0,0,0,0,0,0,0
29,1383,0,0,0,0,0,0,0,0,0
30,1393,0,0,0,0,0,0,0,0,0
31,1402,0,0,0,0,0,0,0,0,0
32,1412,0,0,0,0,0,0,0,0,0
33,1422,0,0,0,0,0,0,0,0,0
34,1432,0,0,0,0,0,0,0,0,0
35,1442,0,0,0,0,0,0,0,0,0
36,1452,0,0,0,0,0,0,0,0,0
37,1462,0,0,0,0,0,0,0,0,0
38,1472,0,0,0,0,0,0,0,0,0
39,1482,0,0,0,0,0,0,0,0,0
40,1492,0,0,0,0,0,0,0,0,0
41,1501,0,0,0,0,0,0,0,0,0
42,1512,0,0,0,0,0,0,0,0,0
43,1523,0,0,0,0,0,0,0,0,0
44,1534,0,0,0,0,0,0,0,0,0
45,1545,0,0,0,0,0,0,0,0,0
46,1556,0,0,0,0,0,0,0,0,0
47,1567,0,0,0,0,0,0,0,0,0
48,1578,0,0,0,0,0,0,0,0,0
49,1589,0,0,0,0,0,0,0,0,0
50,1600,0,0,0,0,0,0,0,0,0
