2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,538,0,0,0,0,0,0,0,0,0
2,549.11,0,0,0,0,0,0,0,0,0
3,560.22,0,0,0,0,0,0,0,0,0
4,571.33,0,0,0,0,0,0,0,0,0
5,582.44,0,0,0,0,0,0,0,0,0
6,593.55,0,0,0,0,0,0,0,0,0
7,604.66,0,0,0,0,0,0,0,0,0
8,615.77,0,0,0,0,0,0,0,0,0
9,626.88,0,0,0,0,0,0,0,0,0
10,637.99,0,0,0,0,0,0,0,0,0
11,649,0,0,0,0,0,0,0,0,0
12,660.11,0,0,0,0,0,0,0,0,0
13,671.22,0,0,0,0,0,0,0,0,0
14,682.33,0,0,0,0,0,0,0,0,0
15,693.44,0,0,0,0,0,0,0,0,0
16,704.55,0,0,0,0,0,0,0,0,0
17,715.66,0,0,0,0,0,0,0,0,0
18,726.77,0,0,0,0,0,0,0,0,0
19,737.88,0,0,0,0,0,0,0,0,0
20,748.99,0,0,0,0,0,0,0,0,0
21,760,0,0,0,0,0,0,0,0,0
22,771.11,0,0,0,0,0,0,0,0,0
23,782.22,0,0,0,0,0,0,0,0,0
24,793.33,0,0,0,0,0,0,0,0,0
25,804.44,0,0,0,0,0,0,0,0,0
26,815.55,0,0,0,0,0,0,0,0,0
27,826.66,0,0,0,0,0,0,0,0,0
28,837.77,0,0,0,0,0,0,0,0,0
29,848.88,0,0,0,0,0,0,0,0,0
30,859.99,0,0,0,0,0,0,0,0,0
31,871,0,0,0,0,0,0,0,0,0
32,882.11,0,0,0,0,0,0,0,0,0
33,893.22,0,0,0,0,0,0,0,0,0
34,904.33,0,0,0,0,0,0,0,0,0
35,915.44,0,0,0,0,0,0,0,0,0
36,926.55,0,0,0,0,0,0,0,0,0
37,937.66,0,0,0,0,0,0,0,0,0
38,948.77,0,0,0,0,0,0,0,0,0
39,959.88,0,0,0,0,0,0,0,0,0
40,970.99,0,0,0,0,0,0,0,0,0
41,982,0,0,0,0,0,0,0,0,0
42,994.33,0,0,0,0,0,0,0,0,0
43,1006.66,0,0,0,0,0,0,0,0,0
44,1018.99,0,0,0,0,0,0,0,0,0
45,1031.32,0,0,0,0,0,0,0,0,0
46,1043.65,0,0,0,0,0,0,0,0,0
47,1055.98,0,0,0,0,0,0,0,0,0
48,1068.31,0,0,0,0,0,0,0,0,0
49,1080.64,0,0,0,0,0,0,0,0,0
50,1092.97,0,0,0,0,0,0,0,0,0
