2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,523,13.3,0,3.3,0,2,3.5,0,1,0
2,527.22,13.3,0,3.3,0,2,3.5,0,1,0
3,531.44,13.3,0,3.3,0,2,3.5,0,1,0
4,535.66,13.3,0,3.3,0,2,3.5,0,1,0
5,539.88,13.3,0,3.3,0,2,3.5,0,1,0
6,544.1,13.3,0,3.3,0,2,3.5,0,1,0
7,548.32,13.3,0,3.3,0,2,3.5,0,1,0
8,552.54,13.3,0,3.3,0,2,3.5,0,1,0
9,556.76,13.3,0,3.3,0,2,3.5,0,1,0
10,560.98,13.3,0,3.3,0,2,3.5,0,1,0
11,565,13.3,0,3.3,0,2,3.5,0,1,0
12,569.22,13.3,0,3.3,0,2,3.5,0,1,0
13,573.44,13.3,0,3.3,0,2,3.5,0,1,0
14,577.66,13.3,0,3.3,0,2,3.5,0,1,0
15,581.88,13.3,0,3.3,0,2,3.5,0,1,0
16,586.1,13.3,0,3.3,0,2,3.5,0,1,0
17,590.32,13.3,0,3.3,0,2,3.5,0,1,0
18,594.54,13.3,0,3.3,0,2,3.5,0,1,0
19,598.76,13.3,0,3.3,0,2,3.5,0,1,0
20,602.98,13.3,0,3.3,0,2,3.5,0,1,0
21,607,13.3,0,3.3,0,2,3.5,0,1,0
22,611.22,13.3,0,3.3,0,2,3.5,0,1,0
23,615.44,13.3,0,3.3,0,2,3.5,0,1,0
24,619.66,13.3,0,3.3,0,2,3.5,0,1,0
25,623.88,13.3,0,3.3,0,2,3.5,0,1,0
26,628.1,13.3,0,3.3,0,2,3.5,0,1,0
27,632.32,13.3,0,3.3,0,2,3.5,0,1,0
28,636.54,13.3,0,3.3,0,2,3.5,0,1,0
29,640.76,13.3,0,3.3,0,2,3.5,0,1,0
30,644.98,13.3,0,3.3,0,2,3.5,0,1,0
31,648,13.3,0,3.3,0,2,3.5,0,1,0
32,652.22,13.3,0,3.3,0,2,3.5,0,1,0
33,656.44,13.3,0,3.3,0,2,3.5,0,1,0
34,660.66,13.3,0,3.3,0,2,3.5,0,1,0
35,664.88,13.3,0,3.3,0,2,3.5,0,1,0
36,669.1,13.3,0,3.3,0,2,3.5,0,1,0
37,673.32,13.3,0,3.3,0,2,3.5,0,1,0
38,677.54,13.3,0,3.3,0,2,3.5,0,1,0
39,681.76,13.3,0,3.3,0,2,3.5,0,1,0
40,685.98,13.3,0,3.3,0,2,3.5,0,1,0
41,690,13.3,0,3.3,0,2,3.5,0,1,0
42,694.55,13.3,0,3.3,0,2,3.5,0,1,0
43,699.1,13.3,0,3.3,0,2,3.5,0,1,0
44,703.65,13.3,0,3.3,0,2,3.5,0,1,0
45,708.2,13.3,0,3.3,0,2,3.5,0,1,0
46,712.75,13.3,0,3.3,0,2,3.5,0,1,0
47,717.3,13.3,0,3.3,0,2,3.5,0,1,0
48,721.85,13.3,0,3.3,0,2,3.5,0,1,0
49,726.4,13.3,0,3.3,0,2,3.5,0,1,0
50,730.95,13.3,0,3.3,0,2,3.5,0,1,0
