2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,645,13.3,0,3.3,0,2,3.5,0,1,0
2,661.33,13.3,0,3.3,0,2,3.5,0,1,0
3,677.66,13.3,0,3.3,0,2,3.5,0,1,0
4,693.99,13.3,0,3.3,0,2,3.5,0,1,0
5,710.32,13.3,0,3.3,0,2,3.5,0,1,0
6,726.65,13.3,0,3.3,0,2,3.5,0,1,0
7,742.98,13.3,0,3.3,0,2,3.5,0,1,0
8,759.31,13.3,0,3.3,0,2,3.5,0,1,0
9,775.64,13.3,0,3.3,0,2,3.5,0,1,0
10,791.97,13.3,0,3.3,0,2,3.5,0,1,0
11,808,13.3,0,3.3,0,2,3.5,0,1,0
12,824.33,13.3,0,3.3,0,2,3.5,0,1,0
13,840.66,13.3,0,3.3,0,2,3.5,0,1,0
14,856.99,13.3,0,3.3,0,2,3.5,0,1,0
15,873.32,13.3,0,3.3,0,2,3.5,0,1,0
16,889.65,13.3,0,3.3,0,2,3.5,0,1,0
17,905.98,13.3,0,3.3,0,2,3.5,0,1,0
18,922.31,13.3,0,3.3,0,2,3.5,0,1,0
19,938.64,13.3,0,3.3,0,2,3.5,0,1,0
20,954.97,13.3,0,3.3,0,2,3.5,0,1,0
21,971,13.3,0,3.3,0,2,3.5,0,1,0
22,987.44,13.3,0,3.3,0,2,3.5,0,1,0
23,1003.88,13.3,0,3.3,0,2,3.5,0,1,0
24,1020.32,13.3,0,3.3,0,2,3.5,0,1,0
25,1036.76,13.3,0,3.3,0,2,3.5,0,1,0
26,1053.2,13.3,0,3.3,0,2,3.5,0,1,0
27,1069.64,13.3,0,3.3,0,2,3.5,0,1,0
28,1086.08,13.3,0,3.3,0,2,3.5,0,1,0
29,1102.52,13.3,0,3.3,0,2,3.5,0,1,0
30,1118.96,13.3,0,3.3,0,2,3.5,0,1,0
31,1135,13.3,0,3.3,0,2,3.5,0,1,0
32,1151.33,13.3,0,3.3,0,2,3.5,0,1,0
33,1167.66,13.3,0,3.3,0,2,3.5,0,1,0
34,1183.99,13.3,0,3.3,0,2,3.5,0,1,0
35,1200.32,13.3,0,3.3,0,2,3.5,0,1,0
36,1216.65,13.3,0,3.3,0,2,3.5,0,1,0
37,1232.98,13.3,0,3.3,0,2,3.5,0,1,0
38,1249.31,13.3,0,3.3,0,2,3.5,0,1,0
39,1265.64,13.3,0,3.3,0,2,3.5,0,1,0
40,1281.97,13.3,0,3.3,0,2,3.5,0,1,0
41,1298,13.3,0,3.3,0,2,3.5,0,1,0
42,1316.22,13.3,0,3.3,0,2,3.5,0,1,0
43,1334.44,13.3,0,3.3,0,2,3.5,0,1,0
44,1352.66,13.3,0,3.3,0,2,3.5,0,1,0
45,1370.88,13.3,0,3.3,0,2,3.5,0,1,0
46,1389.1,13.3,0,3.3,0,2,3.5,0,1,0
47,1407.32,13.3,0,3.3,0,2,3.5,0,1,0
48,1425.54,13.3,0,3.3,0,2,3.5,0,1,0
49,1443.76,13.3,0,3.3,0,2,3.5,0,1,0
50,1461.98,13.3,0,3.3,0,2,3.5,0,1,0
