2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,1213,13.3,0,3.3,0,2,3.5,0,1,0
2,1223.88,13.3,0,3.3,0,2,3.5,0,1,0
3,1234.76,13.3,0,3.3,0,2,3.5,0,1,0
4,1245.64,13.3,0,3.3,0,2,3.5,0,1,0
5,1256.52,13.3,0,3.3,0,2,3.5,0,1,0
6,1267.4,13.3,0,3.3,0,2,3.5,0,1,0
7,1278.28,13.3,0,3.3,0,2,3.5,0,1,0
8,1289.16,13.3,0,3.3,0,2,3.5,0,1,0
9,1300.04,13.3,0,3.3,0,2,3.5,0,1,0
10,1310.92,13.3,0,3.3,0,2,3.5,0,1,0
11,1321,13.3,0,3.3,0,2,3.5,0,1,0
12,1331.88,13.3,0,3.3,0,2,3.5,0,1,0
13,1342.76,13.3,0,3.3,0,2,3.5,0,1,0
14,1353.64,13.3,0,3.3,0,2,3.5,0,1,0
15,1364.52,13.3,0,3.3,0,2,3.5,0,1,0
16,1375.4,13.3,0,3.3,0,2,3.5,0,1,0
17,1386.28,13.3,0,3.3,0,2,3.5,0,1,0
18,1397.16,13.3,0,3.3,0,2,3.5,0,1,0
19,1408.04,13.3,0,3.3,0,2,3.5,0,1,0
20,1418.92,13.3,0,3.3,0,2,3.5,0,1,0
21,1429,13.3,0,3.3,0,2,3.5,0,1,0
22,1439.88,13.3,0,3.3,0,2,3.5,0,1,0
23,1450.76,13.3,0,3.3,0,2,3.5,0,1,0
24,1461.64,13.3,0,3.3,0,2,3.5,0,1,0
25,1472.52,13.3,0,3.3,0,2,3.5,0,1,0
26,1483.4,13.3,0,3.3,0,2,3.5,0,1,0
27,1494.28,13.3,0,3.3,0,2,3.5,0,1,0
28,1505.16,13.3,0,3.3,0,2,3.5,0,1,0
29,1516.04,13.3,0,3.3,0,2,3.5,0,1,0
30,1526.92,13.3,0,3.3,0,2,3.5,0,1,0
31,1538,13.3,0,3.3,0,2,3.5,0,1,0
32,1548.77,13.3,0,3.3,0,2,3.5,0,1,0
33,1559.54,13.3,0,3.3,0,2,3.5,0,1,0
34,1570.31,13.3,0,3.3,0,2,3.5,0,1,0
35,1581.08,13.3,0,3.3,0,2,3.5,0,1,0
36,1591.85,13.3,0,3.3,0,2,3.5,0,1,0
37,1602.62,13.3,0,3.3,0,2,3.5,0,1,0
38,1613.39,13.3,0,3.3,0,2,3.5,0,1,0
39,1624.16,13.3,0,3.3,0,2,3.5,0,1,0
40,1634.93,13.3,0,3.3,0,2,3.5,0,1,0
41,1646,13.3,0,3.3,0,2,3.5,0,1,0
42,1658.11,13.3,0,3.3,0,2,3.5,0,1,0
43,1670.22,13.3,0,3.3,0,2,3.5,0,1,0
44,1682.33,13.3,0,3.3,0,2,3.5,0,1,0
45,1694.44,13.3,0,3.3,0,2,3.5,0,1,0
46,1706.55,13.3,0,3.3,0,2,3.5,0,1,0
47,1718.66,13.3,0,3.3,0,2,3.5,0,1,0
48,1730.77,13.3,0,3.3,0,2,3.5,0,1,0
49,1742.88,13.3,0,3.3,0,2,3.5,0,1,0
50,1754.99,13.3,0,3.3,0,2,3.5,0,1,0
