2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,590,13.3,0,3.3,0,2,3.5,0,1,0
2,602.33,13.3,0,3.3,0,2,3.5,0,1,0
3,614.66,13.3,0,3.3,0,2,3.5,0,1,0
4,626.99,13.3,0,3.3,0,2,3.5,0,1,0
5,639.32,13.3,0,3.3,0,2,3.5,0,1,0
6,651.65,13.3,0,3.3,0,2,3.5,0,1,0
7,663.98,13.3,0,3.3,0,2,3.5,0,1,0
8,676.31,13.3,0,3.3,0,2,3.5,0,1,0
9,688.64,13.3,0,3.3,0,2,3.5,0,1,0
10,700.97,13.3,0,3.3,0,2,3.5,0,1,0
11,712,13.3,0,3.3,0,2,3.5,0,1,0
12,724.22,13.3,0,3.3,0,2,3.5,0,1,0
13,736.44,13.3,0,3.3,0,2,3.5,0,1,0
14,748.66,13.3,0,3.3,0,2,3.5,0,1,0
15,760.88,13.3,0,3.3,0,2,3.5,0,1,0
16,773.1,13.3,0,3.3,0,2,3.5,0,1,0
17,785.32,13.3,0,3.3,0,2,3.5,0,1,0
18,797.54,13.3,0,3.3,0,2,3.5,0,1,0
19,809.76,13.3,0,3.3,0,2,3.5,0,1,0
20,821.98,13.3,0,3.3,0,2,3.5,0,1,0
21,834,13.3,0,3.3,0,2,3.5,0,1,0
22,846.22,13.3,0,3.3,0,2,3.5,0,1,0
23,858.44,13.3,0,3.3,0,2,3.5,0,1,0
24,870.66,13.3,0,3.3,0,2,3.5,0,1,0
25,882.88,13.3,0,3.3,0,2,3.5,0,1,0
26,895.1,13.3,0,3.3,0,2,3.5,0,1,0
27,907.32,13.3,0,3.3,0,2,3.5,0,1,0
28,919.54,13.3,0,3.3,0,2,3.5,0,1,0
29,931.76,13.3,0,3.3,0,2,3.5,0,1,0
30,943.98,13.3,0,3.3,0,2,3.5,0,1,0
31,955,13.3,0,3.3,0,2,3.5,0,1,0
32,967.22,13.3,0,3.3,0,2,3.5,0,1,0
33,979.44,13.3,0,3.3,0,2,3.5,0,1,0
34,991.66,13.3,0,3.3,0,2,3.5,0,1,0
35,1003.88,13.3,0,3.3,0,2,3.5,0,1,0
36,1016.1,13.3,0,3.3,0,2,3.5,0,1,0
37,1028.32,13.3,0,3.3,0,2,3.5,0,1,0
38,1040.54,13.3,0,3.3,0,2,3.5,0,1,0
39,1052.76,13.3,0,3.3,0,2,3.5,0,1,0
40,1064.98,13.3,0,3.3,0,2,3.5,0,1,0
41,1077,13.3,0,3.3,0,2,3.5,0,1,0
42,1090.55,13.3,0,3.3,0,2,3.5,0,1,0
43,1104.1,13.3,0,3.3,0,2,3.5,0,1,0
44,1117.65,13.3,0,3.3,0,2,3.5,0,1,0
45,1131.2,13.3,0,3.3,0,2,3.5,0,1,0
46,1144.75,13.3,0,3.3,0,2,3.5,0,1,0
47,1158.3,13.3,0,3.3,0,2,3.5,0,1,0
48,1171.85,13.3,0,3.3,0,2,3.5,0,1,0
49,1185.4,13.3,0,3.3,0,2,3.5,0,1,0
50,1198.95,13.3,0,3.3,0,2,3.5,0,1,0
