2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,556,13.3,0,3.3,0,2,3.5,0,1,0
2,564.55,13.3,0,3.3,0,2,3.5,0,1,0
3,573.1,13.3,0,3.3,0,2,3.5,0,1,0
4,581.65,13.3,0,3.3,0,2,3.5,0,1,0
5,590.2,13.3,0,3.3,0,2,3.5,0,1,0
6,598.75,13.3,0,3.3,0,2,3.5,0,1,0
7,607.3,13.3,0,3.3,0,2,3.5,0,1,0
8,615.85,13.3,0,3.3,0,2,3.5,0,1,0
9,624.4,13.3,0,3.3,0,2,3.5,0,1,0
10,632.95,13.3,0,3.3,0,2,3.5,0,1,0
11,642,13.3,0,3.3,0,2,3.5,0,1,0
12,650.55,13.3,0,3.3,0,2,3.5,0,1,0
13,659.1,13.3,0,3.3,0,2,3.5,0,1,0
14,667.65,13.3,0,3.3,0,2,3.5,0,1,0
15,676.2,13.3,0,3.3,0,2,3.5,0,1,0
16,684.75,13.3,0,3.3,0,2,3.5,0,1,0
17,693.3,13.3,0,3.3,0,2,3.5,0,1,0
18,701.85,13.3,0,3.3,0,2,3.5,0,1,0
19,710.4,13.3,0,3.3,0,2,3.5,0,1,0
20,718.95,13.3,0,3.3,0,2,3.5,0,1,0
21,727,13.3,0,3.3,0,2,3.5,0,1,0
22,735.55,13.3,0,3.3,0,2,3.5,0,1,0
23,744.1,13.3,0,3.3,0,2,3.5,0,1,0
24,752.65,13.3,0,3.3,0,2,3.5,0,1,0
25,761.2,13.3,0,3.3,0,2,3.5,0,1,0
26,769.75,13.3,0,3.3,0,2,3.5,0,1,0
27,778.3,13.3,0,3.3,0,2,3.5,0,1,0
28,786.85,13.3,0,3.3,0,2,3.5,0,1,0
29,795.4,13.3,0,3.3,0,2,3.5,0,1,0
30,803.95,13.3,0,3.3,0,2,3.5,0,1,0
31,813,13.3,0,3.3,0,2,3.5,0,1,0
32,821.55,13.3,0,3.3,0,2,3.5,0,1,0
33,830.1,13.3,0,3.3,0,2,3.5,0,1,0
34,838.65,13.3,0,3.3,0,2,3.5,0,1,0
35,847.2,13.3,0,3.3,0,2,3.5,0,1,0
36,855.75,13.3,0,3.3,0,2,3.5,0,1,0
37,864.3,13.3,0,3.3,0,2,3.5,0,1,0
38,872.85,13.3,0,3.3,0,2,3.5,0,1,0
39,881.4,13.3,0,3.3,0,2,3.5,0,1,0
40,889.95,13.3,0,3.3,0,2,3.5,0,1,0
41,898,13.3,0,3.3,0,2,3.5,0,1,0
42,907.66,13.3,0,3.3,0,2,3.5,0,1,0
43,917.32,13.3,0,3.3,0,2,3.5,0,1,0
44,926.98,13.3,0,3.3,0,2,3.5,0,1,0
45,936.64,13.3,0,3.3,0,2,3.5,0,1,0
46,946.3,13.3,0,3.3,0,2,3.5,0,1,0
47,955.96,13.3,0,3.3,0,2,3.5,0,1,0
48,965.62,13.3,0,3.3,0,2,3.5,0,1,0
49,975.28,13.3,0,3.3,0,2,3.5,0,1,0
50,984.94,13.3,0,3.3,0,2,3.5,0,1,0
