1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,307,11.1,22,17.8,1.0,2,0,0,1,0
2,314.88,11.1,22,17.8,1.0,2,0,0,1,0
3,322.76,11.1,22,17.8,1.0,2,0,0,1,0
4,330.64,11.1,22,17.8,1.0,2,0,0,1,0
5,338.52,11.1,22,17.8,1.0,2,0,0,1,0
6,346.4,11.1,22,17.8,1.0,2,0,0,1,0
7,354.28,11.1,22,17.8,1.0,2,0,0,1,0
8,362.16,11.1,22,17.8,1.0,2,0,0,1,0
9,370.04,11.1,22,17.8,1.0,2,0,0,1,0
10,377.92,11.1,22,17.8,1.0,2,0,0,1,0
11,385,11.1,22,17.8,1.0,2,0,0,1,0
12,392.88,11.1,22,17.8,1.0,2,0,0,1,0
13,400.76,11.1,22,17.8,1.0,2,0,0,1,0
14,408.64,11.1,22,17.8,1.0,2,0,0,1,0
15,416.52,11.1,22,17.8,1.0,2,0,0,1,0
16,424.4,11.1,22,17.8,1.0,2,0,0,1,0
17,432.28,11.1,22,17.8,1.0,2,0,0,1,0
18,440.16,11.1,22,17.8,1.0,2,0,0,1,0
19,448.04,11.1,22,17.8,1.0,2,0,0,1,0
20,455.92,11.1,22,17.8,1.0,2,0,0,1,0
21,463,11.1,22,17.8,1.0,2,0,0,1,0
22,470.77,11.1,22,17.8,1.0,2,0,0,1,0
23,478.54,11.1,22,17.8,1.0,2,0,0,1,0
24,486.31,11.1,22,17.8,1.0,2,0,0,1,0
25,494.08,11.1,22,17.8,1.0,2,0,0,1,0
26,501.85,11.1,22,17.8,1.0,2,0,0,1,0
27,509.62,11.1,22,17.8,1.0,2,0,0,1,0
28,517.39,11.1,22,17.8,1.0,2,0,0,1,0
29,525.16,11.1,22,17.8,1.0,2,0,0,1,0
30,532.93,11.1,22,17.8,1.0,2,0,0,1,0
31,541,11.1,22,17.8,1.0,2,0,0,1,0
32,548.77,11.1,22,17.8,1.0,2,0,0,1,0
33,556.54,11.1,22,17.8,1.0,2,0,0,1,0
34,564.31,11.1,22,17.8,1.0,2,0,0,1,0
35,572.08,11.1,22,17.8,1.0,2,0,0,1,0
36,579.85,11.1,22,17.8,1.0,2,0,0,1,0
37,587.62,11.1,22,17.8,1.0,2,0,0,1,0
38,595.39,11.1,22,17.8,1.0,2,0,0,1,0
39,603.16,11.1,22,17.8,1.0,2,0,0,1,0
40,610.93,11.1,22,17.8,1.0,2,0,0,1,0
41,619,11.1,22,17.8,1.0,2,0,0,1,0
42,627.44,11.1,22,17.8,1.0,2,0,0,1,0
43,635.88,11.1,22,17.8,1.0,2,0,0,1,0
44,644.32,11.1,22,17.8,1.0,2,0,0,1,0
45,652.76,11.1,22,17.8,1.0,2,0,0,1,0
46,661.2,11.1,22,17.8,1.0,2,0,0,1,0
47,669.64,11.1,22,17.8,1.0,2,0,0,1,0
48,678.08,11.1,22,17.8,1.0,2,0,0,1,0
49,686.52,11.1,22,17.8,1.0,2,0,0,1,0
50,694.96,11.1,22,17.8,1.0,2,0,0,1,0
