1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,576,11.1,22,17.8,1.0,2,0,0,1,0
2,581.22,11.1,22,17.8,1.0,2,0,0,1,0
3,586.44,11.1,22,17.8,1.0,2,0,0,1,0
4,591.66,11.1,22,17.8,1.0,2,0,0,1,0
5,596.88,11.1,22,17.8,1.0,2,0,0,1,0
6,602.1,11.1,22,17.8,1.0,2,0,0,1,0
7,607.32,11.1,22,17.8,1.0,2,0,0,1,0
8,612.54,11.1,22,17.8,1.0,2,0,0,1,0
9,617.76,11.1,22,17.8,1.0,2,0,0,1,0
10,622.98,11.1,22,17.8,1.0,2,0,0,1,0
11,627,11.1,22,17.8,1.0,2,0,0,1,0
12,632.22,11.1,22,17.8,1.0,2,0,0,1,0
13,637.44,11.1,22,17.8,1.0,2,0,0,1,0
14,642.66,11.1,22,17.8,1.0,2,0,0,1,0
15,647.88,11.1,22,17.8,1.0,2,0,0,1,0
16,653.1,11.1,22,17.8,1.0,2,0,0,1,0
17,658.32,11.1,22,17.8,1.0,2,0,0,1,0
18,663.54,11.1,22,17.8,1.0,2,0,0,1,0
19,668.76,11.1,22,17.8,1.0,2,0,0,1,0
20,673.98,11.1,22,17.8,1.0,2,0,0,1,0
21,679,11.1,22,17.8,1.0,2,0,0,1,0
22,684.11,11.1,22,17.8,1.0,2,0,0,1,0
23,689.22,11.1,22,17.8,1.0,2,0,0,1,0
24,694.33,11.1,22,17.8,1.0,2,0,0,1,0
25,699.44,11.1,22,17.8,1.0,2,0,0,1,0
26,704.55,11.1,22,17.8,1.0,2,0,0,1,0
27,709.66,11.1,22,17.8,1.0,2,0,0,1,0
28,714.77,11.1,22,17.8,1.0,2,0,0,1,0
29,719.88,11.1,22,17.8,1.0,2,0,0,1,0
30,724.99,11.1,22,17.8,1.0,2,0,0,1,0
31,730,11.1,22,17.8,1.0,2,0,0,1,0
32,735.22,11.1,22,17.8,1.0,2,0,0,1,0
33,740.44,11.1,22,17.8,1.0,2,0,0,1,0
34,745.66,11.1,22,17.8,1.0,2,0,0,1,0
35,750.88,11.1,22,17.8,1.0,2,0,0,1,0
36,756.1,11.1,22,17.8,1.0,2,0,0,1,0
37,761.32,11.1,22,17.8,1.0,2,0,0,1,0
38,766.54,11.1,22,17.8,1.0,2,0,0,1,0
39,771.76,11.1,22,17.8,1.0,2,0,0,1,0
40,776.98,11.1,22,17.8,1.0,2,0,0,1,0
41,781,11.1,22,17.8,1.0,2,0,0,1,0
42,787,11.1,22,17.8,1.0,2,0,0,1,0
43,793,11.1,22,17.8,1.0,2,0,0,1,0
44,799,11.1,22,17.8,1.0,2,0,0,1,0
45,805,11.1,22,17.8,1.0,2,0,0,1,0
46,811,11.1,22,17.8,1.0,2,0,0,1,0
47,817,11.1,22,17.8,1.0,2,0,0,1,0
48,823,11.1,22,17.8,1.0,2,0,0,1,0
49,829,11.1,22,17.8,1.0,2,0,0,1,0
50,835,11.1,22,17.8,1.0,2,0,0,1,0
