1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,265,11.1,22,17.8,1.0,2,0,0,1,0
2,269.11,11.1,22,17.8,1.0,2,0,0,1,0
3,273.22,11.1,22,17.8,1.0,2,0,0,1,0
4,277.33,11.1,22,17.8,1.0,2,0,0,1,0
5,281.44,11.1,22,17.8,1.0,2,0,0,1,0
6,285.55,11.1,22,17.8,1.0,2,0,0,1,0
7,289.66,11.1,22,17.8,1.0,2,0,0,1,0
8,293.77,11.1,22,17.8,1.0,2,0,0,1,0
9,297.88,11.1,22,17.8,1.0,2,0,0,1,0
10,301.99,11.1,22,17.8,1.0,2,0,0,1,0
11,305,11.1,22,17.8,1.0,2,0,0,1,0
12,309.11,11.1,22,17.8,1.0,2,0,0,1,0
13,313.22,11.1,22,17.8,1.0,2,0,0,1,0
14,317.33,11.1,22,17.8,1.0,2,0,0,1,0
15,321.44,11.1,22,17.8,1.0,2,0,0,1,0
16,325.55,11.1,22,17.8,1.0,2,0,0,1,0
17,329.66,11.1,22,17.8,1.0,2,0,0,1,0
18,333.77,11.1,22,17.8,1.0,2,0,0,1,0
19,337.88,11.1,22,17.8,1.0,2,0,0,1,0
20,341.99,11.1,22,17.8,1.0,2,0,0,1,0
21,346,11.1,22,17.8,1.0,2,0,0,1,0
22,350.11,11.1,22,17.8,1.0,2,0,0,1,0
23,354.22,11.1,22,17.8,1.0,2,0,0,1,0
24,358.33,11.1,22,17.8,1.0,2,0,0,1,0
25,362.44,11.1,22,17.8,1.0,2,0,0,1,0
26,366.55,11.1,22,17.8,1.0,2,0,0,1,0
27,370.66,11.1,22,17.8,1.0,2,0,0,1,0
28,374.77,11.1,22,17.8,1.0,2,0,0,1,0
29,378.88,11.1,22,17.8,1.0,2,0,0,1,0
30,382.99,11.1,22,17.8,1.0,2,0,0,1,0
31,387,11.1,22,17.8,1.0,2,0,0,1,0
32,391.11,11.1,22,17.8,1.0,2,0,0,1,0
33,395.22,11.1,22,17.8,1.0,2,0,0,1,0
34,399.33,11.1,22,17.8,1.0,2,0,0,1,0
35,403.44,11.1,22,17.8,1.0,2,0,0,1,0
36,407.55,11.1,22,17.8,1.0,2,0,0,1,0
37,411.66,11.1,22,17.8,1.0,2,0,0,1,0
38,415.77,11.1,22,17.8,1.0,2,0,0,1,0
39,419.88,11.1,22,17.8,1.0,2,0,0,1,0
40,423.99,11.1,22,17.8,1.0,2,0,0,1,0
41,428,11.1,22,17.8,1.0,2,0,0,1,0
42,432.44,11.1,22,17.8,1.0,2,0,0,1,0
43,436.88,11.1,22,17.8,1.0,2,0,0,1,0
44,441.32,11.1,22,17.8,1.0,2,0,0,1,0
45,445.76,11.1,22,17.8,1.0,2,0,0,1,0
46,450.2,11.1,22,17.8,1.0,2,0,0,1,0
47,454.64,11.1,22,17.8,1.0,2,0,0,1,0
48,459.08,11.1,22,17.8,1.0,2,0,0,1,0
49,463.52,11.1,22,17.8,1.0,2,0,0,1,0
50,467.96,11.1,22,17.8,1.0,2,0,0,1,0
