2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,0.1344,20,0,0,0,0,0,0,1,6
2,0.1374,20,0,0,0,0,0,0,1,6
3,0.1404,20,0,0,0,0,0,0,1,6
4,0.1434,20,0,0,0,0,0,0,1,6
5,0.1464,20,0,0,0,0,0,0,1,6
6,0.1494,20,0,0,0,0,0,0,1,6
7,0.1524,20,0,0,0,0,0,0,1,6
8,0.1554,20,0,0,0,0,0,0,1,6
9,0.1584,20,0,0,0,0,0,0,1,6
10,0.1614,20,0,0,0,0,0,0,1,6
11,0.1622,20,0,0,0,0,0,0,1,6
12,0.1652,20,0,0,0,0,0,0,1,6
13,0.1682,20,0,0,0,0,0,0,1,6
14,0.1712,20,0,0,0,0,0,0,1,6
15,0.1742,20,0,0,0,0,0,0,1,6
16,0.1772,20,0,0,0,0,0,0,1,6
17,0.1802,20,0,0,0,0,0,0,1,6
18,0.1832,20,0,0,0,0,0,0,1,6
19,0.1862,20,0,0,0,0,0,0,1,6
20,0.1892,20,0,0,0,0,0,0,1,6
21,0.1899,20,0,0,0,0,0,0,1,6
22,0.1929,20,0,0,0,0,0,0,1,6
23,0.1959,20,0,0,0,0,0,0,1,6
24,0.1989,20,0,0,0,0,0,0,1,6
25,0.2019,20,0,0,0,0,0,0,1,6
26,0.2049,20,0,0,0,0,0,0,1,6
27,0.2079,20,0,0,0,0,0,0,1,6
28,0.2109,20,0,0,0,0,0,0,1,6
29,0.2139,20,0,0,0,0,0,0,1,6
30,0.2169,20,0,0,0,0,0,0,1,6
31,0.2176,20,0,0,0,0,0,0,1,6
32,0.2206,20,0,0,0,0,0,0,1,6
33,0.2236,20,0,0,0,0,0,0,1,6
34,0.2266,20,0,0,0,0,0,0,1,6
35,0.2296,20,0,0,0,0,0,0,1,6
36,0.2326,20,0,0,0,0,0,0,1,6
37,0.2356,20,0,0,0,0,0,0,1,6
38,0.2386,20,0,0,0,0,0,0,1,6
39,0.2416,20,0,0,0,0,0,0,1,6
40,0.2446,20,0,0,0,0,0,0,1,6
41,0.2454,20,0,0,0,0,0,0,1,6
42,0.2484,20,0,0,0,0,0,0,1,6
43,0.2514,20,0,0,0,0,0,0,1,6
44,0.2544,20,0,0,0,0,0,0,1,6
45,0.2574,20,0,0,0,0,0,0,1,6
46,0.2604,20,0,0,0,0,0,0,1,6
47,0.2634,20,0,0,0,0,0,0,1,6
48,0.2664,20,0,0,0,0,0,0,1,6
49,0.2694,20,0,0,0,0,0,0,1,6
50,0.2724,20,0,0,0,0,0,0,1,6
