1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,29,8.5,12,33,0,0,0,8,7,0
2,29.66,8.5,12,33,0,0,0,8,7,0
3,30.32,8.5,12,33,0,0,0,8,7,0
4,30.98,8.5,12,33,0,0,0,8,7,0
5,31.64,8.5,12,33,0,0,0,8,7,0
6,32.3,8.5,12,33,0,0,0,8,7,0
7,32.96,8.5,12,33,0,0,0,8,7,0
8,33.62,8.5,12,33,0,0,0,8,7,0
9,34.28,8.5,12,33,0,0,0,8,7,0
10,34.94,8.5,12,33,0,0,0,8,7,0
11,35,8.5,12,33,0,0,0,8,7,0
12,35.55,8.5,12,33,0,0,0,8,7,0
13,36.1,8.5,12,33,0,0,0,8,7,0
14,36.65,8.5,12,33,0,0,0,8,7,0
15,37.2,8.5,12,33,0,0,0,8,7,0
16,37.75,8.5,12,33,0,0,0,8,7,0
17,38.3,8.5,12,33,0,0,0,8,7,0
18,38.85,8.5,12,33,0,0,0,8,7,0
19,39.4,8.5,12,33,0,0,0,8,7,0
20,39.95,8.5,12,33,0,0,0,8,7,0
21,40,8.5,12,33,0,0,0,8,7,0
22,40.66,8.5,12,33,0,0,0,8,7,0
23,41.32,8.5,12,33,0,0,0,8,7,0
24,41.98,8.5,12,33,0,0,0,8,7,0
25,42.64,8.5,12,33,0,0,0,8,7,0
26,43.3,8.5,12,33,0,0,0,8,7,0
27,43.96,8.5,12,33,0,0,0,8,7,0
28,44.62,8.5,12,33,0,0,0,8,7,0
29,45.28,8.5,12,33,0,0,0,8,7,0
30,45.94,8.5,12,33,0,0,0,8,7,0
31,46,8.5,12,33,0,0,0,8,7,0
32,46.66,8.5,12,33,0,0,0,8,7,0
33,47.32,8.5,12,33,0,0,0,8,7,0
34,47.98,8.5,12,33,0,0,0,8,7,0
35,48.64,8.5,12,33,0,0,0,8,7,0
36,49.3,8.5,12,33,0,0,0,8,7,0
37,49.96,8.5,12,33,0,0,0,8,7,0
38,50.62,8.5,12,33,0,0,0,8,7,0
39,51.28,8.5,12,33,0,0,0,8,7,0
40,51.94,8.5,12,33,0,0,0,8,7,0
41,52,8.5,12,33,0,0,0,8,7,0
42,52.55,8.5,12,33,0,0,0,8,7,0
43,53.1,8.5,12,33,0,0,0,8,7,0
44,53.65,8.5,12,33,0,0,0,8,7,0
45,54.2,8.5,12,33,0,0,0,8,7,0
46,54.75,8.5,12,33,0,0,0,8,7,0
47,55.3,8.5,12,33,0,0,0,8,7,0
48,55.85,8.5,12,33,0,0,0,8,7,0
49,56.4,8.5,12,33,0,0,0,8,7,0
50,56.95,8.5,12,33,0,0,0,8,7,0
