1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,48,8.5,12,33,0,0,0,8,7,0
2,49.22,8.5,12,33,0,0,0,8,7,0
3,50.44,8.5,12,33,0,0,0,8,7,0
4,51.66,8.5,12,33,0,0,0,8,7,0
5,52.88,8.5,12,33,0,0,0,8,7,0
6,54.1,8.5,12,33,0,0,0,8,7,0
7,55.32,8.5,12,33,0,0,0,8,7,0
8,56.54,8.5,12,33,0,0,0,8,7,0
9,57.76,8.5,12,33,0,0,0,8,7,0
10,58.98,8.5,12,33,0,0,0,8,7,0
11,59,8.5,12,33,0,0,0,8,7,0
12,60.33,8.5,12,33,0,0,0,8,7,0
13,61.66,8.5,12,33,0,0,0,8,7,0
14,62.99,8.5,12,33,0,0,0,8,7,0
15,64.32,8.5,12,33,0,0,0,8,7,0
16,65.65,8.5,12,33,0,0,0,8,7,0
17,66.98,8.5,12,33,0,0,0,8,7,0
18,68.31,8.5,12,33,0,0,0,8,7,0
19,69.64,8.5,12,33,0,0,0,8,7,0
20,70.97,8.5,12,33,0,0,0,8,7,0
21,71,8.5,12,33,0,0,0,8,7,0
22,72.22,8.5,12,33,0,0,0,8,7,0
23,73.44,8.5,12,33,0,0,0,8,7,0
24,74.66,8.5,12,33,0,0,0,8,7,0
25,75.88,8.5,12,33,0,0,0,8,7,0
26,77.1,8.5,12,33,0,0,0,8,7,0
27,78.32,8.5,12,33,0,0,0,8,7,0
28,79.54,8.5,12,33,0,0,0,8,7,0
29,80.76,8.5,12,33,0,0,0,8,7,0
30,81.98,8.5,12,33,0,0,0,8,7,0
31,82,8.5,12,33,0,0,0,8,7,0
32,83.33,8.5,12,33,0,0,0,8,7,0
33,84.66,8.5,12,33,0,0,0,8,7,0
34,85.99,8.5,12,33,0,0,0,8,7,0
35,87.32,8.5,12,33,0,0,0,8,7,0
36,88.65,8.5,12,33,0,0,0,8,7,0
37,89.98,8.5,12,33,0,0,0,8,7,0
38,91.31,8.5,12,33,0,0,0,8,7,0
39,92.64,8.5,12,33,0,0,0,8,7,0
40,93.97,8.5,12,33,0,0,0,8,7,0
41,94,8.5,12,33,0,0,0,8,7,0
42,95.22,8.5,12,33,0,0,0,8,7,0
43,96.44,8.5,12,33,0,0,0,8,7,0
44,97.66,8.5,12,33,0,0,0,8,7,0
45,98.88,8.5,12,33,0,0,0,8,7,0
46,100.1,8.5,12,33,0,0,0,8,7,0
47,101.32,8.5,12,33,0,0,0,8,7,0
48,102.54,8.5,12,33,0,0,0,8,7,0
49,103.76,8.5,12,33,0,0,0,8,7,0
50,104.98,8.5,12,33,0,0,0,8,7,0
