1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,4.461,20,0,0,0,0,7,0,1,0
2,4.501,20,0,0,0,0,7,0,1,0
3,4.541,20,0,0,0,0,7,0,1,0
4,4.581,20,0,0,0,0,7,0,1,0
5,4.621,20,0,0,0,0,7,0,1,0
6,4.661,20,0,0,0,0,7,0,1,0
7,4.701,20,0,0,0,0,7,0,1,0
8,4.741,20,0,0,0,0,7,0,1,0
9,4.781,20,0,0,0,0,7,0,1,0
10,4.821,20,0,0,0,0,7,0,1,0
11,4.8176,20,0,0,0,0,7,0,1,0
12,4.8576,20,0,0,0,0,7,0,1,0
13,4.8976,20,0,0,0,0,7,0,1,0
14,4.9376,20,0,0,0,0,7,0,1,0
15,4.9776,20,0,0,0,0,7,0,1,0
16,5.0176,20,0,0,0,0,7,0,1,0
17,5.0576,20,0,0,0,0,7,0,1,0
18,5.0976,20,0,0,0,0,7,0,1,0
19,5.1376,20,0,0,0,0,7,0,1,0
20,5.1776,20,0,0,0,0,7,0,1,0
21,5.1742,20,0,0,0,0,7,0,1,0
22,5.2142,20,0,0,0,0,7,0,1,0
23,5.2542,20,0,0,0,0,7,0,1,0
24,5.2942,20,0,0,0,0,7,0,1,0
25,5.3342,20,0,0,0,0,7,0,1,0
26,5.3742,20,0,0,0,0,7,0,1,0
27,5.4142,20,0,0,0,0,7,0,1,0
28,5.4542,20,0,0,0,0,7,0,1,0
29,5.4942,20,0,0,0,0,7,0,1,0
30,5.5342,20,0,0,0,0,7,0,1,0
31,5.5308,20,0,0,0,0,7,0,1,0
32,5.5708,20,0,0,0,0,7,0,1,0
33,5.6108,20,0,0,0,0,7,0,1,0
34,5.6508,20,0,0,0,0,7,0,1,0
35,5.6908,20,0,0,0,0,7,0,1,0
36,5.7308,20,0,0,0,0,7,0,1,0
37,5.7708,20,0,0,0,0,7,0,1,0
38,5.8108,20,0,0,0,0,7,0,1,0
39,5.8508,20,0,0,0,0,7,0,1,0
40,5.8908,20,0,0,0,0,7,0,1,0
41,5.8874,20,0,0,0,0,7,0,1,0
42,5.9274,20,0,0,0,0,7,0,1,0
43,5.9674,20,0,0,0,0,7,0,1,0
44,6.0074,20,0,0,0,0,7,0,1,0
45,6.0474,20,0,0,0,0,7,0,1,0
46,6.0874,20,0,0,0,0,7,0,1,0
47,6.1274,20,0,0,0,0,7,0,1,0
48,6.1674,20,0,0,0,0,7,0,1,0
49,6.2074,20,0,0,0,0,7,0,1,0
50,6.2474,20,0,0,0,0,7,0,1,0
