1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,5.5047,20,0,0,0,0,7,0,1,0
2,5.6447,20,0,0,0,0,7,0,1,0
3,5.7847,20,0,0,0,0,7,0,1,0
4,5.9247,20,0,0,0,0,7,0,1,0
5,6.0647,20,0,0,0,0,7,0,1,0
6,6.2047,20,0,0,0,0,7,0,1,0
7,6.3447,20,0,0,0,0,7,0,1,0
8,6.4847,20,0,0,0,0,7,0,1,0
9,6.6247,20,0,0,0,0,7,0,1,0
10,6.7647,20,0,0,0,0,7,0,1,0
11,6.9015,20,0,0,0,0,7,0,1,0
12,7.0415,20,0,0,0,0,7,0,1,0
13,7.1815,20,0,0,0,0,7,0,1,0
14,7.3215,20,0,0,0,0,7,0,1,0
15,7.4615,20,0,0,0,0,7,0,1,0
16,7.6015,20,0,0,0,0,7,0,1,0
17,7.7415,20,0,0,0,0,7,0,1,0
18,7.8815,20,0,0,0,0,7,0,1,0
19,8.0215,20,0,0,0,0,7,0,1,0
20,8.1615,20,0,0,0,0,7,0,1,0
21,8.2982,20,0,0,0,0,7,0,1,0
22,8.4382,20,0,0,0,0,7,0,1,0
23,8.5782,20,0,0,0,0,7,0,1,0
24,8.7182,20,0,0,0,0,7,0,1,0
25,8.8582,20,0,0,0,0,7,0,1,0
26,8.9982,20,0,0,0,0,7,0,1,0
27,9.1382,20,0,0,0,0,7,0,1,0
28,9.2782,20,0,0,0,0,7,0,1,0
29,9.4182,20,0,0,0,0,7,0,1,0
30,9.5582,20,0,0,0,0,7,0,1,0
31,9.695,20,0,0,0,0,7,0,1,0
32,9.835,20,0,0,0,0,7,0,1,0
33,9.975,20,0,0,0,0,7,0,1,0
34,10.115,20,0,0,0,0,7,0,1,0
35,10.255,20,0,0,0,0,7,0,1,0
36,10.395,20,0,0,0,0,7,0,1,0
37,10.535,20,0,0,0,0,7,0,1,0
38,10.675,20,0,0,0,0,7,0,1,0
39,10.815,20,0,0,0,0,7,0,1,0
40,10.955,20,0,0,0,0,7,0,1,0
41,11.0917,20,0,0,0,0,7,0,1,0
42,11.2517,20,0,0,0,0,7,0,1,0
43,11.4117,20,0,0,0,0,7,0,1,0
44,11.5717,20,0,0,0,0,7,0,1,0
45,11.7317,20,0,0,0,0,7,0,1,0
46,11.8917,20,0,0,0,0,7,0,1,0
47,12.0517,20,0,0,0,0,7,0,1,0
48,12.2117,20,0,0,0,0,7,0,1,0
49,12.3717,20,0,0,0,0,7,0,1,0
50,12.5317,20,0,0,0,0,7,0,1,0
