1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,5.0408,20,0,0,0,0,7,0,1,0
2,5.1408,20,0,0,0,0,7,0,1,0
3,5.2408,20,0,0,0,0,7,0,1,0
4,5.3408,20,0,0,0,0,7,0,1,0
5,5.4408,20,0,0,0,0,7,0,1,0
6,5.5408,20,0,0,0,0,7,0,1,0
7,5.6408,20,0,0,0,0,7,0,1,0
8,5.7408,20,0,0,0,0,7,0,1,0
9,5.8408,20,0,0,0,0,7,0,1,0
10,5.9408,20,0,0,0,0,7,0,1,0
11,6.081,20,0,0,0,0,7,0,1,0
12,6.181,20,0,0,0,0,7,0,1,0
13,6.281,20,0,0,0,0,7,0,1,0
14,6.381,20,0,0,0,0,7,0,1,0
15,6.481,20,0,0,0,0,7,0,1,0
16,6.581,20,0,0,0,0,7,0,1,0
17,6.681,20,0,0,0,0,7,0,1,0
18,6.781,20,0,0,0,0,7,0,1,0
19,6.881,20,0,0,0,0,7,0,1,0
20,6.981,20,0,0,0,0,7,0,1,0
21,7.1211,20,0,0,0,0,7,0,1,0
22,7.2211,20,0,0,0,0,7,0,1,0
23,7.3211,20,0,0,0,0,7,0,1,0
24,7.4211,20,0,0,0,0,7,0,1,0
25,7.5211,20,0,0,0,0,7,0,1,0
26,7.6211,20,0,0,0,0,7,0,1,0
27,7.7211,20,0,0,0,0,7,0,1,0
28,7.8211,20,0,0,0,0,7,0,1,0
29,7.9211,20,0,0,0,0,7,0,1,0
30,8.0211,20,0,0,0,0,7,0,1,0
31,8.1612,20,0,0,0,0,7,0,1,0
32,8.2612,20,0,0,0,0,7,0,1,0
33,8.3612,20,0,0,0,0,7,0,1,0
34,8.4612,20,0,0,0,0,7,0,1,0
35,8.5612,20,0,0,0,0,7,0,1,0
36,8.6612,20,0,0,0,0,7,0,1,0
37,8.7612,20,0,0,0,0,7,0,1,0
38,8.8612,20,0,0,0,0,7,0,1,0
39,8.9612,20,0,0,0,0,7,0,1,0
40,9.0612,20,0,0,0,0,7,0,1,0
41,9.2014,20,0,0,0,0,7,0,1,0
42,9.3214,20,0,0,0,0,7,0,1,0
43,9.4414,20,0,0,0,0,7,0,1,0
44,9.5614,20,0,0,0,0,7,0,1,0
45,9.6814,20,0,0,0,0,7,0,1,0
46,9.8014,20,0,0,0,0,7,0,1,0
47,9.9214,20,0,0,0,0,7,0,1,0
48,10.0414,20,0,0,0,0,7,0,1,0
49,10.1614,20,0,0,0,0,7,0,1,0
50,10.2814,20,0,0,0,0,7,0,1,0
