1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,0.119,20,0,0,0,0,7,0,1,8
2,0.12,20,0,0,0,0,7,0,1,8
3,0.121,20,0,0,0,0,7,0,1,8
4,0.122,20,0,0,0,0,7,0,1,8
5,0.123,20,0,0,0,0,7,0,1,8
6,0.124,20,0,0,0,0,7,0,1,8
7,0.125,20,0,0,0,0,7,0,1,8
8,0.126,20,0,0,0,0,7,0,1,8
9,0.127,20,0,0,0,0,7,0,1,8
10,0.128,20,0,0,0,0,7,0,1,8
11,0.1285,20,0,0,0,0,7,0,1,8
12,0.1295,20,0,0,0,0,7,0,1,8
13,0.1305,20,0,0,0,0,7,0,1,8
14,0.1315,20,0,0,0,0,7,0,1,8
15,0.1325,20,0,0,0,0,7,0,1,8
16,0.1335,20,0,0,0,0,7,0,1,8
17,0.1345,20,0,0,0,0,7,0,1,8
18,0.1355,20,0,0,0,0,7,0,1,8
19,0.1365,20,0,0,0,0,7,0,1,8
20,0.1375,20,0,0,0,0,7,0,1,8
21,0.138,20,0,0,0,0,7,0,1,8
22,0.139,20,0,0,0,0,7,0,1,8
23,0.14,20,0,0,0,0,7,0,1,8
24,0.141,20,0,0,0,0,7,0,1,8
25,0.142,20,0,0,0,0,7,0,1,8
26,0.143,20,0,0,0,0,7,0,1,8
27,0.144,20,0,0,0,0,7,0,1,8
28,0.145,20,0,0,0,0,7,0,1,8
29,0.146,20,0,0,0,0,7,0,1,8
30,0.147,20,0,0,0,0,7,0,1,8
31,0.1475,20,0,0,0,0,7,0,1,8
32,0.1485,20,0,0,0,0,7,0,1,8
33,0.1495,20,0,0,0,0,7,0,1,8
34,0.1505,20,0,0,0,0,7,0,1,8
35,0.1515,20,0,0,0,0,7,0,1,8
36,0.1525,20,0,0,0,0,7,0,1,8
37,0.1535,20,0,0,0,0,7,0,1,8
38,0.1545,20,0,0,0,0,7,0,1,8
39,0.1555,20,0,0,0,0,7,0,1,8
40,0.1565,20,0,0,0,0,7,0,1,8
41,0.157,20,0,0,0,0,7,0,1,8
42,0.158,20,0,0,0,0,7,0,1,8
43,0.159,20,0,0,0,0,7,0,1,8
44,0.16,20,0,0,0,0,7,0,1,8
45,0.161,20,0,0,0,0,7,0,1,8
46,0.162,20,0,0,0,0,7,0,1,8
47,0.163,20,0,0,0,0,7,0,1,8
48,0.164,20,0,0,0,0,7,0,1,8
49,0.165,20,0,0,0,0,7,0,1,8
50,0.166,20,0,0,0,0,7,0,1,8
