1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,0.1468,20,0,0,0,0,7,0,1,8
2,0.1508,20,0,0,0,0,7,0,1,8
3,0.1548,20,0,0,0,0,7,0,1,8
4,0.1588,20,0,0,0,0,7,0,1,8
5,0.1628,20,0,0,0,0,7,0,1,8
6,0.1668,20,0,0,0,0,7,0,1,8
7,0.1708,20,0,0,0,0,7,0,1,8
8,0.1748,20,0,0,0,0,7,0,1,8
9,0.1788,20,0,0,0,0,7,0,1,8
10,0.1828,20,0,0,0,0,7,0,1,8
11,0.184,20,0,0,0,0,7,0,1,8
12,0.188,20,0,0,0,0,7,0,1,8
13,0.192,20,0,0,0,0,7,0,1,8
14,0.196,20,0,0,0,0,7,0,1,8
15,0.2,20,0,0,0,0,7,0,1,8
16,0.204,20,0,0,0,0,7,0,1,8
17,0.208,20,0,0,0,0,7,0,1,8
18,0.212,20,0,0,0,0,7,0,1,8
19,0.216,20,0,0,0,0,7,0,1,8
20,0.22,20,0,0,0,0,7,0,1,8
21,0.2213,20,0,0,0,0,7,0,1,8
22,0.2253,20,0,0,0,0,7,0,1,8
23,0.2293,20,0,0,0,0,7,0,1,8
24,0.2333,20,0,0,0,0,7,0,1,8
25,0.2373,20,0,0,0,0,7,0,1,8
26,0.2413,20,0,0,0,0,7,0,1,8
27,0.2453,20,0,0,0,0,7,0,1,8
28,0.2493,20,0,0,0,0,7,0,1,8
29,0.2533,20,0,0,0,0,7,0,1,8
30,0.2573,20,0,0,0,0,7,0,1,8
31,0.2585,20,0,0,0,0,7,0,1,8
32,0.2625,20,0,0,0,0,7,0,1,8
33,0.2665,20,0,0,0,0,7,0,1,8
34,0.2705,20,0,0,0,0,7,0,1,8
35,0.2745,20,0,0,0,0,7,0,1,8
36,0.2785,20,0,0,0,0,7,0,1,8
37,0.2825,20,0,0,0,0,7,0,1,8
38,0.2865,20,0,0,0,0,7,0,1,8
39,0.2905,20,0,0,0,0,7,0,1,8
40,0.2945,20,0,0,0,0,7,0,1,8
41,0.2958,20,0,0,0,0,7,0,1,8
42,0.2998,20,0,0,0,0,7,0,1,8
43,0.3038,20,0,0,0,0,7,0,1,8
44,0.3078,20,0,0,0,0,7,0,1,8
45,0.3118,20,0,0,0,0,7,0,1,8
46,0.3158,20,0,0,0,0,7,0,1,8
47,0.3198,20,0,0,0,0,7,0,1,8
48,0.3238,20,0,0,0,0,7,0,1,8
49,0.3278,20,0,0,0,0,7,0,1,8
50,0.3318,20,0,0,0,0,7,0,1,8
