1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,0.1344,20,0,0,0,0,7,0,1,8
2,0.1374,20,0,0,0,0,7,0,1,8
3,0.1404,20,0,0,0,0,7,0,1,8
4,0.1434,20,0,0,0,0,7,0,1,8
5,0.1464,20,0,0,0,0,7,0,1,8
6,0.1494,20,0,0,0,0,7,0,1,8
7,0.1524,20,0,0,0,0,7,0,1,8
8,0.1554,20,0,0,0,0,7,0,1,8
9,0.1584,20,0,0,0,0,7,0,1,8
10,0.1614,20,0,0,0,0,7,0,1,8
11,0.1622,20,0,0,0,0,7,0,1,8
12,0.1652,20,0,0,0,0,7,0,1,8
13,0.1682,20,0,0,0,0,7,0,1,8
14,0.1712,20,0,0,0,0,7,0,1,8
15,0.1742,20,0,0,0,0,7,0,1,8
16,0.1772,20,0,0,0,0,7,0,1,8
17,0.1802,20,0,0,0,0,7,0,1,8
18,0.1832,20,0,0,0,0,7,0,1,8
19,0.1862,20,0,0,0,0,7,0,1,8
20,0.1892,20,0,0,0,0,7,0,1,8
21,0.1899,20,0,0,0,0,7,0,1,8
22,0.1929,20,0,0,0,0,7,0,1,8
23,0.1959,20,0,0,0,0,7,0,1,8
24,0.1989,20,0,0,0,0,7,0,1,8
25,0.2019,20,0,0,0,0,7,0,1,8
26,0.2049,20,0,0,0,0,7,0,1,8
27,0.2079,20,0,0,0,0,7,0,1,8
28,0.2109,20,0,0,0,0,7,0,1,8
29,0.2139,20,0,0,0,0,7,0,1,8
30,0.2169,20,0,0,0,0,7,0,1,8
31,0.2176,20,0,0,0,0,7,0,1,8
32,0.2206,20,0,0,0,0,7,0,1,8
33,0.2236,20,0,0,0,0,7,0,1,8
34,0.2266,20,0,0,0,0,7,0,1,8
35,0.2296,20,0,0,0,0,7,0,1,8
36,0.2326,20,0,0,0,0,7,0,1,8
37,0.2356,20,0,0,0,0,7,0,1,8
38,0.2386,20,0,0,0,0,7,0,1,8
39,0.2416,20,0,0,0,0,7,0,1,8
40,0.2446,20,0,0,0,0,7,0,1,8
41,0.2454,20,0,0,0,0,7,0,1,8
42,0.2484,20,0,0,0,0,7,0,1,8
43,0.2514,20,0,0,0,0,7,0,1,8
44,0.2544,20,0,0,0,0,7,0,1,8
45,0.2574,20,0,0,0,0,7,0,1,8
46,0.2604,20,0,0,0,0,7,0,1,8
47,0.2634,20,0,0,0,0,7,0,1,8
48,0.2664,20,0,0,0,0,7,0,1,8
49,0.2694,20,0,0,0,0,7,0,1,8
50,0.2724,20,0,0,0,0,7,0,1,8
