1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,0.1267,20,0,0,0,0,7,0,1,8
2,0.1287,20,0,0,0,0,7,0,1,8
3,0.1307,20,0,0,0,0,7,0,1,8
4,0.1327,20,0,0,0,0,7,0,1,8
5,0.1347,20,0,0,0,0,7,0,1,8
6,0.1367,20,0,0,0,0,7,0,1,8
7,0.1387,20,0,0,0,0,7,0,1,8
8,0.1407,20,0,0,0,0,7,0,1,8
9,0.1427,20,0,0,0,0,7,0,1,8
10,0.1447,20,0,0,0,0,7,0,1,8
11,0.1462,20,0,0,0,0,7,0,1,8
12,0.1482,20,0,0,0,0,7,0,1,8
13,0.1502,20,0,0,0,0,7,0,1,8
14,0.1522,20,0,0,0,0,7,0,1,8
15,0.1542,20,0,0,0,0,7,0,1,8
16,0.1562,20,0,0,0,0,7,0,1,8
17,0.1582,20,0,0,0,0,7,0,1,8
18,0.1602,20,0,0,0,0,7,0,1,8
19,0.1622,20,0,0,0,0,7,0,1,8
20,0.1642,20,0,0,0,0,7,0,1,8
21,0.1657,20,0,0,0,0,7,0,1,8
22,0.1677,20,0,0,0,0,7,0,1,8
23,0.1697,20,0,0,0,0,7,0,1,8
24,0.1717,20,0,0,0,0,7,0,1,8
25,0.1737,20,0,0,0,0,7,0,1,8
26,0.1757,20,0,0,0,0,7,0,1,8
27,0.1777,20,0,0,0,0,7,0,1,8
28,0.1797,20,0,0,0,0,7,0,1,8
29,0.1817,20,0,0,0,0,7,0,1,8
30,0.1837,20,0,0,0,0,7,0,1,8
31,0.1852,20,0,0,0,0,7,0,1,8
32,0.1872,20,0,0,0,0,7,0,1,8
33,0.1892,20,0,0,0,0,7,0,1,8
34,0.1912,20,0,0,0,0,7,0,1,8
35,0.1932,20,0,0,0,0,7,0,1,8
36,0.1952,20,0,0,0,0,7,0,1,8
37,0.1972,20,0,0,0,0,7,0,1,8
38,0.1992,20,0,0,0,0,7,0,1,8
39,0.2012,20,0,0,0,0,7,0,1,8
40,0.2032,20,0,0,0,0,7,0,1,8
41,0.2047,20,0,0,0,0,7,0,1,8
42,0.2067,20,0,0,0,0,7,0,1,8
43,0.2087,20,0,0,0,0,7,0,1,8
44,0.2107,20,0,0,0,0,7,0,1,8
45,0.2127,20,0,0,0,0,7,0,1,8
46,0.2147,20,0,0,0,0,7,0,1,8
47,0.2167,20,0,0,0,0,7,0,1,8
48,0.2187,20,0,0,0,0,7,0,1,8
49,0.2207,20,0,0,0,0,7,0,1,8
50,0.2227,20,0,0,0,0,7,0,1,8
