2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,951,18,0,0,0,0,0,140,1,8
2,965.66,18,0,0,0,0,0,140,1,8
3,980.32,18,0,0,0,0,0,140,1,8
4,994.98,18,0,0,0,0,0,140,1,8
5,1009.64,18,0,0,0,0,0,140,1,8
6,1024.3,18,0,0,0,0,0,140,1,8
7,1038.96,18,0,0,0,0,0,140,1,8
8,1053.62,18,0,0,0,0,0,140,1,8
9,1068.28,18,0,0,0,0,0,140,1,8
10,1082.94,18,0,0,0,0,0,140,1,8
11,1097,18,0,0,0,0,0,140,1,8
12,1111.66,18,0,0,0,0,0,140,1,8
13,1126.32,18,0,0,0,0,0,140,1,8
14,1140.98,18,0,0,0,0,0,140,1,8
15,1155.64,18,0,0,0,0,0,140,1,8
16,1170.3,18,0,0,0,0,0,140,1,8
17,1184.96,18,0,0,0,0,0,140,1,8
18,1199.62,18,0,0,0,0,0,140,1,8
19,1214.28,18,0,0,0,0,0,140,1,8
20,1228.94,18,0,0,0,0,0,140,1,8
21,1243,18,0,0,0,0,0,140,1,8
22,1257.66,18,0,0,0,0,0,140,1,8
23,1272.32,18,0,0,0,0,0,140,1,8
24,1286.98,18,0,0,0,0,0,140,1,8
25,1301.64,18,0,0,0,0,0,140,1,8
26,1316.3,18,0,0,0,0,0,140,1,8
27,1330.96,18,0,0,0,0,0,140,1,8
28,1345.62,18,0,0,0,0,0,140,1,8
29,1360.28,18,0,0,0,0,0,140,1,8
30,1374.94,18,0,0,0,0,0,140,1,8
31,1389,18,0,0,0,0,0,140,1,8
32,1403.66,18,0,0,0,0,0,140,1,8
33,1418.32,18,0,0,0,0,0,140,1,8
34,1432.98,18,0,0,0,0,0,140,1,8
35,1447.64,18,0,0,0,0,0,140,1,8
36,1462.3,18,0,0,0,0,0,140,1,8
37,1476.96,18,0,0,0,0,0,140,1,8
38,1491.62,18,0,0,0,0,0,140,1,8
39,1506.28,18,0,0,0,0,0,140,1,8
40,1520.94,18,0,0,0,0,0,140,1,8
41,1535,18,0,0,0,0,0,140,1,8
42,1551.33,18,0,0,0,0,0,140,1,8
43,1567.66,18,0,0,0,0,0,140,1,8
44,1583.99,18,0,0,0,0,0,140,1,8
45,1600.32,18,0,0,0,0,0,140,1,8
46,1616.65,18,0,0,0,0,0,140,1,8
47,1632.98,18,0,0,0,0,0,140,1,8
48,1649.31,18,0,0,0,0,0,140,1,8
49,1665.64,18,0,0,0,0,0,140,1,8
50,1681.97,18,0,0,0,0,0,140,1,8
