1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,42,17,0,0,0,0,0,0,1,10
2,42.33,17,0,0,0,0,0,0,1,10
3,42.66,17,0,0,0,0,0,0,1,10
4,42.99,17,0,0,0,0,0,0,1,10
5,43.32,17,0,0,0,0,0,0,1,10
6,43.65,17,0,0,0,0,0,0,1,10
7,43.98,17,0,0,0,0,0,0,1,10
8,44.31,17,0,0,0,0,0,0,1,10
9,44.64,17,0,0,0,0,0,0,1,10
10,44.97,17,0,0,0,0,0,0,1,10
11,45,17,0,0,0,0,0,0,1,10
12,45.33,17,0,0,0,0,0,0,1,10
13,45.66,17,0,0,0,0,0,0,1,10
14,45.99,17,0,0,0,0,0,0,1,10
15,46.32,17,0,0,0,0,0,0,1,10
16,46.65,17,0,0,0,0,0,0,1,10
17,46.98,17,0,0,0,0,0,0,1,10
18,47.31,17,0,0,0,0,0,0,1,10
19,47.64,17,0,0,0,0,0,0,1,10
20,47.97,17,0,0,0,0,0,0,1,10
21,48,17,0,0,0,0,0,0,1,10
22,48.33,17,0,0,0,0,0,0,1,10
23,48.66,17,0,0,0,0,0,0,1,10
24,48.99,17,0,0,0,0,0,0,1,10
25,49.32,17,0,0,0,0,0,0,1,10
26,49.65,17,0,0,0,0,0,0,1,10
27,49.98,17,0,0,0,0,0,0,1,10
28,50.31,17,0,0,0,0,0,0,1,10
29,50.64,17,0,0,0,0,0,0,1,10
30,50.97,17,0,0,0,0,0,0,1,10
31,51,17,0,0,0,0,0,0,1,10
32,51.33,17,0,0,0,0,0,0,1,10
33,51.66,17,0,0,0,0,0,0,1,10
34,51.99,17,0,0,0,0,0,0,1,10
35,52.32,17,0,0,0,0,0,0,1,10
36,52.65,17,0,0,0,0,0,0,1,10
37,52.98,17,0,0,0,0,0,0,1,10
38,53.31,17,0,0,0,0,0,0,1,10
39,53.64,17,0,0,0,0,0,0,1,10
40,53.97,17,0,0,0,0,0,0,1,10
41,54,17,0,0,0,0,0,0,1,10
42,54.44,17,0,0,0,0,0,0,1,10
43,54.88,17,0,0,0,0,0,0,1,10
44,55.32,17,0,0,0,0,0,0,1,10
45,55.76,17,0,0,0,0,0,0,1,10
46,56.2,17,0,0,0,0,0,0,1,10
47,56.64,17,0,0,0,0,0,0,1,10
48,57.08,17,0,0,0,0,0,0,1,10
49,57.52,17,0,0,0,0,0,0,1,10
50,57.96,17,0,0,0,0,0,0,1,10
