1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,47,17,0,0,0,0,0,0,1,10
2,48.11,17,0,0,0,0,0,0,1,10
3,49.22,17,0,0,0,0,0,0,1,10
4,50.33,17,0,0,0,0,0,0,1,10
5,51.44,17,0,0,0,0,0,0,1,10
6,52.55,17,0,0,0,0,0,0,1,10
7,53.66,17,0,0,0,0,0,0,1,10
8,54.77,17,0,0,0,0,0,0,1,10
9,55.88,17,0,0,0,0,0,0,1,10
10,56.99,17,0,0,0,0,0,0,1,10
11,57,17,0,0,0,0,0,0,1,10
12,58.11,17,0,0,0,0,0,0,1,10
13,59.22,17,0,0,0,0,0,0,1,10
14,60.33,17,0,0,0,0,0,0,1,10
15,61.44,17,0,0,0,0,0,0,1,10
16,62.55,17,0,0,0,0,0,0,1,10
17,63.66,17,0,0,0,0,0,0,1,10
18,64.77,17,0,0,0,0,0,0,1,10
19,65.88,17,0,0,0,0,0,0,1,10
20,66.99,17,0,0,0,0,0,0,1,10
21,67,17,0,0,0,0,0,0,1,10
22,68.11,17,0,0,0,0,0,0,1,10
23,69.22,17,0,0,0,0,0,0,1,10
24,70.33,17,0,0,0,0,0,0,1,10
25,71.44,17,0,0,0,0,0,0,1,10
26,72.55,17,0,0,0,0,0,0,1,10
27,73.66,17,0,0,0,0,0,0,1,10
28,74.77,17,0,0,0,0,0,0,1,10
29,75.88,17,0,0,0,0,0,0,1,10
30,76.99,17,0,0,0,0,0,0,1,10
31,77,17,0,0,0,0,0,0,1,10
32,78.11,17,0,0,0,0,0,0,1,10
33,79.22,17,0,0,0,0,0,0,1,10
34,80.33,17,0,0,0,0,0,0,1,10
35,81.44,17,0,0,0,0,0,0,1,10
36,82.55,17,0,0,0,0,0,0,1,10
37,83.66,17,0,0,0,0,0,0,1,10
38,84.77,17,0,0,0,0,0,0,1,10
39,85.88,17,0,0,0,0,0,0,1,10
40,86.99,17,0,0,0,0,0,0,1,10
41,87,17,0,0,0,0,0,0,1,10
42,87.88,17,0,0,0,0,0,0,1,10
43,88.76,17,0,0,0,0,0,0,1,10
44,89.64,17,0,0,0,0,0,0,1,10
45,90.52,17,0,0,0,0,0,0,1,10
46,91.4,17,0,0,0,0,0,0,1,10
47,92.28,17,0,0,0,0,0,0,1,10
48,93.16,17,0,0,0,0,0,0,1,10
49,94.04,17,0,0,0,0,0,0,1,10
50,94.92,17,0,0,0,0,0,0,1,10
