1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,44,17,0,0,0,0,0,0,1,10
2,44.77,17,0,0,0,0,0,0,1,10
3,45.54,17,0,0,0,0,0,0,1,10
4,46.31,17,0,0,0,0,0,0,1,10
5,47.08,17,0,0,0,0,0,0,1,10
6,47.85,17,0,0,0,0,0,0,1,10
7,48.62,17,0,0,0,0,0,0,1,10
8,49.39,17,0,0,0,0,0,0,1,10
9,50.16,17,0,0,0,0,0,0,1,10
10,50.93,17,0,0,0,0,0,0,1,10
11,51,17,0,0,0,0,0,0,1,10
12,51.77,17,0,0,0,0,0,0,1,10
13,52.54,17,0,0,0,0,0,0,1,10
14,53.31,17,0,0,0,0,0,0,1,10
15,54.08,17,0,0,0,0,0,0,1,10
16,54.85,17,0,0,0,0,0,0,1,10
17,55.62,17,0,0,0,0,0,0,1,10
18,56.39,17,0,0,0,0,0,0,1,10
19,57.16,17,0,0,0,0,0,0,1,10
20,57.93,17,0,0,0,0,0,0,1,10
21,58,17,0,0,0,0,0,0,1,10
22,58.77,17,0,0,0,0,0,0,1,10
23,59.54,17,0,0,0,0,0,0,1,10
24,60.31,17,0,0,0,0,0,0,1,10
25,61.08,17,0,0,0,0,0,0,1,10
26,61.85,17,0,0,0,0,0,0,1,10
27,62.62,17,0,0,0,0,0,0,1,10
28,63.39,17,0,0,0,0,0,0,1,10
29,64.16,17,0,0,0,0,0,0,1,10
30,64.93,17,0,0,0,0,0,0,1,10
31,65,17,0,0,0,0,0,0,1,10
32,65.77,17,0,0,0,0,0,0,1,10
33,66.54,17,0,0,0,0,0,0,1,10
34,67.31,17,0,0,0,0,0,0,1,10
35,68.08,17,0,0,0,0,0,0,1,10
36,68.85,17,0,0,0,0,0,0,1,10
37,69.62,17,0,0,0,0,0,0,1,10
38,70.39,17,0,0,0,0,0,0,1,10
39,71.16,17,0,0,0,0,0,0,1,10
40,71.93,17,0,0,0,0,0,0,1,10
41,72,17,0,0,0,0,0,0,1,10
42,72.66,17,0,0,0,0,0,0,1,10
43,73.32,17,0,0,0,0,0,0,1,10
44,73.98,17,0,0,0,0,0,0,1,10
45,74.64,17,0,0,0,0,0,0,1,10
46,75.3,17,0,0,0,0,0,0,1,10
47,75.96,17,0,0,0,0,0,0,1,10
48,76.62,17,0,0,0,0,0,0,1,10
49,77.28,17,0,0,0,0,0,0,1,10
50,77.94,17,0,0,0,0,0,0,1,10
