2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,24,16.5,27,0,0,0,3.6,0,1,13
2,24.22,16.5,27,0,0,0,3.6,0,1,13
3,24.44,16.5,27,0,0,0,3.6,0,1,13
4,24.66,16.5,27,0,0,0,3.6,0,1,13
5,24.88,16.5,27,0,0,0,3.6,0,1,13
6,25.1,16.5,27,0,0,0,3.6,0,1,13
7,25.32,16.5,27,0,0,0,3.6,0,1,13
8,25.54,16.5,27,0,0,0,3.6,0,1,13
9,25.76,16.5,27,0,0,0,3.6,0,1,13
10,25.98,16.5,27,0,0,0,3.6,0,1,13
11,26,16.5,27,0,0,0,3.6,0,1,13
12,26.22,16.5,27,0,0,0,3.6,0,1,13
13,26.44,16.5,27,0,0,0,3.6,0,1,13
14,26.66,16.5,27,0,0,0,3.6,0,1,13
15,26.88,16.5,27,0,0,0,3.6,0,1,13
16,27.1,16.5,27,0,0,0,3.6,0,1,13
17,27.32,16.5,27,0,0,0,3.6,0,1,13
18,27.54,16.5,27,0,0,0,3.6,0,1,13
19,27.76,16.5,27,0,0,0,3.6,0,1,13
20,27.98,16.5,27,0,0,0,3.6,0,1,13
21,28,16.5,27,0,0,0,3.6,0,1,13
22,28.22,16.5,27,0,0,0,3.6,0,1,13
23,28.44,16.5,27,0,0,0,3.6,0,1,13
24,28.66,16.5,27,0,0,0,3.6,0,1,13
25,28.88,16.5,27,0,0,0,3.6,0,1,13
26,29.1,16.5,27,0,0,0,3.6,0,1,13
27,29.32,16.5,27,0,0,0,3.6,0,1,13
28,29.54,16.5,27,0,0,0,3.6,0,1,13
29,29.76,16.5,27,0,0,0,3.6,0,1,13
30,29.98,16.5,27,0,0,0,3.6,0,1,13
31,30,16.5,27,0,0,0,3.6,0,1,13
32,30.22,16.5,27,0,0,0,3.6,0,1,13
33,30.44,16.5,27,0,0,0,3.6,0,1,13
34,30.66,16.5,27,0,0,0,3.6,0,1,13
35,30.88,16.5,27,0,0,0,3.6,0,1,13
36,31.1,16.5,27,0,0,0,3.6,0,1,13
37,31.32,16.5,27,0,0,0,3.6,0,1,13
38,31.54,16.5,27,0,0,0,3.6,0,1,13
39,31.76,16.5,27,0,0,0,3.6,0,1,13
40,31.98,16.5,27,0,0,0,3.6,0,1,13
41,32,16.5,27,0,0,0,3.6,0,1,13
42,32.22,16.5,27,0,0,0,3.6,0,1,13
43,32.44,16.5,27,0,0,0,3.6,0,1,13
44,32.66,16.5,27,0,0,0,3.6,0,1,13
45,32.88,16.5,27,0,0,0,3.6,0,1,13
46,33.1,16.5,27,0,0,0,3.6,0,1,13
47,33.32,16.5,27,0,0,0,3.6,0,1,13
48,33.54,16.5,27,0,0,0,3.6,0,1,13
49,33.76,16.5,27,0,0,0,3.6,0,1,13
50,33.98,16.5,27,0,0,0,3.6,0,1,13
