2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,30,16.5,27,0,0,0,3.6,0,1,13
2,30.88,16.5,27,0,0,0,3.6,0,1,13
3,31.76,16.5,27,0,0,0,3.6,0,1,13
4,32.64,16.5,27,0,0,0,3.6,0,1,13
5,33.52,16.5,27,0,0,0,3.6,0,1,13
6,34.4,16.5,27,0,0,0,3.6,0,1,13
7,35.28,16.5,27,0,0,0,3.6,0,1,13
8,36.16,16.5,27,0,0,0,3.6,0,1,13
9,37.04,16.5,27,0,0,0,3.6,0,1,13
10,37.92,16.5,27,0,0,0,3.6,0,1,13
11,38,16.5,27,0,0,0,3.6,0,1,13
12,38.77,16.5,27,0,0,0,3.6,0,1,13
13,39.54,16.5,27,0,0,0,3.6,0,1,13
14,40.31,16.5,27,0,0,0,3.6,0,1,13
15,41.08,16.5,27,0,0,0,3.6,0,1,13
16,41.85,16.5,27,0,0,0,3.6,0,1,13
17,42.62,16.5,27,0,0,0,3.6,0,1,13
18,43.39,16.5,27,0,0,0,3.6,0,1,13
19,44.16,16.5,27,0,0,0,3.6,0,1,13
20,44.93,16.5,27,0,0,0,3.6,0,1,13
21,45,16.5,27,0,0,0,3.6,0,1,13
22,45.88,16.5,27,0,0,0,3.6,0,1,13
23,46.76,16.5,27,0,0,0,3.6,0,1,13
24,47.64,16.5,27,0,0,0,3.6,0,1,13
25,48.52,16.5,27,0,0,0,3.6,0,1,13
26,49.4,16.5,27,0,0,0,3.6,0,1,13
27,50.28,16.5,27,0,0,0,3.6,0,1,13
28,51.16,16.5,27,0,0,0,3.6,0,1,13
29,52.04,16.5,27,0,0,0,3.6,0,1,13
30,52.92,16.5,27,0,0,0,3.6,0,1,13
31,53,16.5,27,0,0,0,3.6,0,1,13
32,53.77,16.5,27,0,0,0,3.6,0,1,13
33,54.54,16.5,27,0,0,0,3.6,0,1,13
34,55.31,16.5,27,0,0,0,3.6,0,1,13
35,56.08,16.5,27,0,0,0,3.6,0,1,13
36,56.85,16.5,27,0,0,0,3.6,0,1,13
37,57.62,16.5,27,0,0,0,3.6,0,1,13
38,58.39,16.5,27,0,0,0,3.6,0,1,13
39,59.16,16.5,27,0,0,0,3.6,0,1,13
40,59.93,16.5,27,0,0,0,3.6,0,1,13
41,60,16.5,27,0,0,0,3.6,0,1,13
42,60.66,16.5,27,0,0,0,3.6,0,1,13
43,61.32,16.5,27,0,0,0,3.6,0,1,13
44,61.98,16.5,27,0,0,0,3.6,0,1,13
45,62.64,16.5,27,0,0,0,3.6,0,1,13
46,63.3,16.5,27,0,0,0,3.6,0,1,13
47,63.96,16.5,27,0,0,0,3.6,0,1,13
48,64.62,16.5,27,0,0,0,3.6,0,1,13
49,65.28,16.5,27,0,0,0,3.6,0,1,13
50,65.94,16.5,27,0,0,0,3.6,0,1,13
