2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,27,16.5,27,0,0,0,3.6,0,1,13
2,27.66,16.5,27,0,0,0,3.6,0,1,13
3,28.32,16.5,27,0,0,0,3.6,0,1,13
4,28.98,16.5,27,0,0,0,3.6,0,1,13
5,29.64,16.5,27,0,0,0,3.6,0,1,13
6,30.3,16.5,27,0,0,0,3.6,0,1,13
7,30.96,16.5,27,0,0,0,3.6,0,1,13
8,31.62,16.5,27,0,0,0,3.6,0,1,13
9,32.28,16.5,27,0,0,0,3.6,0,1,13
10,32.94,16.5,27,0,0,0,3.6,0,1,13
11,33,16.5,27,0,0,0,3.6,0,1,13
12,33.55,16.5,27,0,0,0,3.6,0,1,13
13,34.1,16.5,27,0,0,0,3.6,0,1,13
14,34.65,16.5,27,0,0,0,3.6,0,1,13
15,35.2,16.5,27,0,0,0,3.6,0,1,13
16,35.75,16.5,27,0,0,0,3.6,0,1,13
17,36.3,16.5,27,0,0,0,3.6,0,1,13
18,36.85,16.5,27,0,0,0,3.6,0,1,13
19,37.4,16.5,27,0,0,0,3.6,0,1,13
20,37.95,16.5,27,0,0,0,3.6,0,1,13
21,38,16.5,27,0,0,0,3.6,0,1,13
22,38.66,16.5,27,0,0,0,3.6,0,1,13
23,39.32,16.5,27,0,0,0,3.6,0,1,13
24,39.98,16.5,27,0,0,0,3.6,0,1,13
25,40.64,16.5,27,0,0,0,3.6,0,1,13
26,41.3,16.5,27,0,0,0,3.6,0,1,13
27,41.96,16.5,27,0,0,0,3.6,0,1,13
28,42.62,16.5,27,0,0,0,3.6,0,1,13
29,43.28,16.5,27,0,0,0,3.6,0,1,13
30,43.94,16.5,27,0,0,0,3.6,0,1,13
31,44,16.5,27,0,0,0,3.6,0,1,13
32,44.66,16.5,27,0,0,0,3.6,0,1,13
33,45.32,16.5,27,0,0,0,3.6,0,1,13
34,45.98,16.5,27,0,0,0,3.6,0,1,13
35,46.64,16.5,27,0,0,0,3.6,0,1,13
36,47.3,16.5,27,0,0,0,3.6,0,1,13
37,47.96,16.5,27,0,0,0,3.6,0,1,13
38,48.62,16.5,27,0,0,0,3.6,0,1,13
39,49.28,16.5,27,0,0,0,3.6,0,1,13
40,49.94,16.5,27,0,0,0,3.6,0,1,13
41,50,16.5,27,0,0,0,3.6,0,1,13
42,50.44,16.5,27,0,0,0,3.6,0,1,13
43,50.88,16.5,27,0,0,0,3.6,0,1,13
44,51.32,16.5,27,0,0,0,3.6,0,1,13
45,51.76,16.5,27,0,0,0,3.6,0,1,13
46,52.2,16.5,27,0,0,0,3.6,0,1,13
47,52.64,16.5,27,0,0,0,3.6,0,1,13
48,53.08,16.5,27,0,0,0,3.6,0,1,13
49,53.52,16.5,27,0,0,0,3.6,0,1,13
50,53.96,16.5,27,0,0,0,3.6,0,1,13
