2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,25,16.5,27,0,0,0,3.6,0,1,13
2,25.44,16.5,27,0,0,0,3.6,0,1,13
3,25.88,16.5,27,0,0,0,3.6,0,1,13
4,26.32,16.5,27,0,0,0,3.6,0,1,13
5,26.76,16.5,27,0,0,0,3.6,0,1,13
6,27.2,16.5,27,0,0,0,3.6,0,1,13
7,27.64,16.5,27,0,0,0,3.6,0,1,13
8,28.08,16.5,27,0,0,0,3.6,0,1,13
9,28.52,16.5,27,0,0,0,3.6,0,1,13
10,28.96,16.5,27,0,0,0,3.6,0,1,13
11,29,16.5,27,0,0,0,3.6,0,1,13
12,29.44,16.5,27,0,0,0,3.6,0,1,13
13,29.88,16.5,27,0,0,0,3.6,0,1,13
14,30.32,16.5,27,0,0,0,3.6,0,1,13
15,30.76,16.5,27,0,0,0,3.6,0,1,13
16,31.2,16.5,27,0,0,0,3.6,0,1,13
17,31.64,16.5,27,0,0,0,3.6,0,1,13
18,32.08,16.5,27,0,0,0,3.6,0,1,13
19,32.52,16.5,27,0,0,0,3.6,0,1,13
20,32.96,16.5,27,0,0,0,3.6,0,1,13
21,33,16.5,27,0,0,0,3.6,0,1,13
22,33.44,16.5,27,0,0,0,3.6,0,1,13
23,33.88,16.5,27,0,0,0,3.6,0,1,13
24,34.32,16.5,27,0,0,0,3.6,0,1,13
25,34.76,16.5,27,0,0,0,3.6,0,1,13
26,35.2,16.5,27,0,0,0,3.6,0,1,13
27,35.64,16.5,27,0,0,0,3.6,0,1,13
28,36.08,16.5,27,0,0,0,3.6,0,1,13
29,36.52,16.5,27,0,0,0,3.6,0,1,13
30,36.96,16.5,27,0,0,0,3.6,0,1,13
31,37,16.5,27,0,0,0,3.6,0,1,13
32,37.33,16.5,27,0,0,0,3.6,0,1,13
33,37.66,16.5,27,0,0,0,3.6,0,1,13
34,37.99,16.5,27,0,0,0,3.6,0,1,13
35,38.32,16.5,27,0,0,0,3.6,0,1,13
36,38.65,16.5,27,0,0,0,3.6,0,1,13
37,38.98,16.5,27,0,0,0,3.6,0,1,13
38,39.31,16.5,27,0,0,0,3.6,0,1,13
39,39.64,16.5,27,0,0,0,3.6,0,1,13
40,39.97,16.5,27,0,0,0,3.6,0,1,13
41,40,16.5,27,0,0,0,3.6,0,1,13
42,40.44,16.5,27,0,0,0,3.6,0,1,13
43,40.88,16.5,27,0,0,0,3.6,0,1,13
44,41.32,16.5,27,0,0,0,3.6,0,1,13
45,41.76,16.5,27,0,0,0,3.6,0,1,13
46,42.2,16.5,27,0,0,0,3.6,0,1,13
47,42.64,16.5,27,0,0,0,3.6,0,1,13
48,43.08,16.5,27,0,0,0,3.6,0,1,13
49,43.52,16.5,27,0,0,0,3.6,0,1,13
50,43.96,16.5,27,0,0,0,3.6,0,1,13
