1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,20,11.1,22,19.3,0,0,0,0,1,12
2,20.22,11.1,22,19.3,0,0,0,0,1,12
3,20.44,11.1,22,19.3,0,0,0,0,1,12
4,20.66,11.1,22,19.3,0,0,0,0,1,12
5,20.88,11.1,22,19.3,0,0,0,0,1,12
6,21.1,11.1,22,19.3,0,0,0,0,1,12
7,21.32,11.1,22,19.3,0,0,0,0,1,12
8,21.54,11.1,22,19.3,0,0,0,0,1,12
9,21.76,11.1,22,19.3,0,0,0,0,1,12
10,21.98,11.1,22,19.3,0,0,0,0,1,12
11,22,11.1,22,19.3,0,0,0,0,1,12
12,22.22,11.1,22,19.3,0,0,0,0,1,12
13,22.44,11.1,22,19.3,0,0,0,0,1,12
14,22.66,11.1,22,19.3,0,0,0,0,1,12
15,22.88,11.1,22,19.3,0,0,0,0,1,12
16,23.1,11.1,22,19.3,0,0,0,0,1,12
17,23.32,11.1,22,19.3,0,0,0,0,1,12
18,23.54,11.1,22,19.3,0,0,0,0,1,12
19,23.76,11.1,22,19.3,0,0,0,0,1,12
20,23.98,11.1,22,19.3,0,0,0,0,1,12
21,24,11.1,22,19.3,0,0,0,0,1,12
22,24.22,11.1,22,19.3,0,0,0,0,1,12
23,24.44,11.1,22,19.3,0,0,0,0,1,12
24,24.66,11.1,22,19.3,0,0,0,0,1,12
25,24.88,11.1,22,19.3,0,0,0,0,1,12
26,25.1,11.1,22,19.3,0,0,0,0,1,12
27,25.32,11.1,22,19.3,0,0,0,0,1,12
28,25.54,11.1,22,19.3,0,0,0,0,1,12
29,25.76,11.1,22,19.3,0,0,0,0,1,12
30,25.98,11.1,22,19.3,0,0,0,0,1,12
31,26,11.1,22,19.3,0,0,0,0,1,12
32,26.22,11.1,22,19.3,0,0,0,0,1,12
33,26.44,11.1,22,19.3,0,0,0,0,1,12
34,26.66,11.1,22,19.3,0,0,0,0,1,12
35,26.88,11.1,22,19.3,0,0,0,0,1,12
36,27.1,11.1,22,19.3,0,0,0,0,1,12
37,27.32,11.1,22,19.3,0,0,0,0,1,12
38,27.54,11.1,22,19.3,0,0,0,0,1,12
39,27.76,11.1,22,19.3,0,0,0,0,1,12
40,27.98,11.1,22,19.3,0,0,0,0,1,12
41,28,11.1,22,19.3,0,0,0,0,1,12
42,28.22,11.1,22,19.3,0,0,0,0,1,12
43,28.44,11.1,22,19.3,0,0,0,0,1,12
44,28.66,11.1,22,19.3,0,0,0,0,1,12
45,28.88,11.1,22,19.3,0,0,0,0,1,12
46,29.1,11.1,22,19.3,0,0,0,0,1,12
47,29.32,11.1,22,19.3,0,0,0,0,1,12
48,29.54,11.1,22,19.3,0,0,0,0,1,12
49,29.76,11.1,22,19.3,0,0,0,0,1,12
50,29.98,11.1,22,19.3,0,0,0,0,1,12
