1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,26,11.1,22,19.3,0,0,0,0,1,12
2,26.77,11.1,22,19.3,0,0,0,0,1,12
3,27.54,11.1,22,19.3,0,0,0,0,1,12
4,28.31,11.1,22,19.3,0,0,0,0,1,12
5,29.08,11.1,22,19.3,0,0,0,0,1,12
6,29.85,11.1,22,19.3,0,0,0,0,1,12
7,30.62,11.1,22,19.3,0,0,0,0,1,12
8,31.39,11.1,22,19.3,0,0,0,0,1,12
9,32.16,11.1,22,19.3,0,0,0,0,1,12
10,32.93,11.1,22,19.3,0,0,0,0,1,12
11,33,11.1,22,19.3,0,0,0,0,1,12
12,33.66,11.1,22,19.3,0,0,0,0,1,12
13,34.32,11.1,22,19.3,0,0,0,0,1,12
14,34.98,11.1,22,19.3,0,0,0,0,1,12
15,35.64,11.1,22,19.3,0,0,0,0,1,12
16,36.3,11.1,22,19.3,0,0,0,0,1,12
17,36.96,11.1,22,19.3,0,0,0,0,1,12
18,37.62,11.1,22,19.3,0,0,0,0,1,12
19,38.28,11.1,22,19.3,0,0,0,0,1,12
20,38.94,11.1,22,19.3,0,0,0,0,1,12
21,39,11.1,22,19.3,0,0,0,0,1,12
22,39.77,11.1,22,19.3,0,0,0,0,1,12
23,40.54,11.1,22,19.3,0,0,0,0,1,12
24,41.31,11.1,22,19.3,0,0,0,0,1,12
25,42.08,11.1,22,19.3,0,0,0,0,1,12
26,42.85,11.1,22,19.3,0,0,0,0,1,12
27,43.62,11.1,22,19.3,0,0,0,0,1,12
28,44.39,11.1,22,19.3,0,0,0,0,1,12
29,45.16,11.1,22,19.3,0,0,0,0,1,12
30,45.93,11.1,22,19.3,0,0,0,0,1,12
31,46,11.1,22,19.3,0,0,0,0,1,12
32,46.77,11.1,22,19.3,0,0,0,0,1,12
33,47.54,11.1,22,19.3,0,0,0,0,1,12
34,48.31,11.1,22,19.3,0,0,0,0,1,12
35,49.08,11.1,22,19.3,0,0,0,0,1,12
36,49.85,11.1,22,19.3,0,0,0,0,1,12
37,50.62,11.1,22,19.3,0,0,0,0,1,12
38,51.39,11.1,22,19.3,0,0,0,0,1,12
39,52.16,11.1,22,19.3,0,0,0,0,1,12
40,52.93,11.1,22,19.3,0,0,0,0,1,12
41,53,11.1,22,19.3,0,0,0,0,1,12
42,53.66,11.1,22,19.3,0,0,0,0,1,12
43,54.32,11.1,22,19.3,0,0,0,0,1,12
44,54.98,11.1,22,19.3,0,0,0,0,1,12
45,55.64,11.1,22,19.3,0,0,0,0,1,12
46,56.3,11.1,22,19.3,0,0,0,0,1,12
47,56.96,11.1,22,19.3,0,0,0,0,1,12
48,57.62,11.1,22,19.3,0,0,0,0,1,12
49,58.28,11.1,22,19.3,0,0,0,0,1,12
50,58.94,11.1,22,19.3,0,0,0,0,1,12
