1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,46,11.1,22,19.3,0,0,0,0,1,12
2,46.55,11.1,22,19.3,0,0,0,0,1,12
3,47.1,11.1,22,19.3,0,0,0,0,1,12
4,47.65,11.1,22,19.3,0,0,0,0,1,12
5,48.2,11.1,22,19.3,0,0,0,0,1,12
6,48.75,11.1,22,19.3,0,0,0,0,1,12
7,49.3,11.1,22,19.3,0,0,0,0,1,12
8,49.85,11.1,22,19.3,0,0,0,0,1,12
9,50.4,11.1,22,19.3,0,0,0,0,1,12
10,50.95,11.1,22,19.3,0,0,0,0,1,12
11,51,11.1,22,19.3,0,0,0,0,1,12
12,51.55,11.1,22,19.3,0,0,0,0,1,12
13,52.1,11.1,22,19.3,0,0,0,0,1,12
14,52.65,11.1,22,19.3,0,0,0,0,1,12
15,53.2,11.1,22,19.3,0,0,0,0,1,12
16,53.75,11.1,22,19.3,0,0,0,0,1,12
17,54.3,11.1,22,19.3,0,0,0,0,1,12
18,54.85,11.1,22,19.3,0,0,0,0,1,12
19,55.4,11.1,22,19.3,0,0,0,0,1,12
20,55.95,11.1,22,19.3,0,0,0,0,1,12
21,56,11.1,22,19.3,0,0,0,0,1,12
22,56.44,11.1,22,19.3,0,0,0,0,1,12
23,56.88,11.1,22,19.3,0,0,0,0,1,12
24,57.32,11.1,22,19.3,0,0,0,0,1,12
25,57.76,11.1,22,19.3,0,0,0,0,1,12
26,58.2,11.1,22,19.3,0,0,0,0,1,12
27,58.64,11.1,22,19.3,0,0,0,0,1,12
28,59.08,11.1,22,19.3,0,0,0,0,1,12
29,59.52,11.1,22,19.3,0,0,0,0,1,12
30,59.96,11.1,22,19.3,0,0,0,0,1,12
31,60,11.1,22,19.3,0,0,0,0,1,12
32,60.55,11.1,22,19.3,0,0,0,0,1,12
33,61.1,11.1,22,19.3,0,0,0,0,1,12
34,61.65,11.1,22,19.3,0,0,0,0,1,12
35,62.2,11.1,22,19.3,0,0,0,0,1,12
36,62.75,11.1,22,19.3,0,0,0,0,1,12
37,63.3,11.1,22,19.3,0,0,0,0,1,12
38,63.85,11.1,22,19.3,0,0,0,0,1,12
39,64.4,11.1,22,19.3,0,0,0,0,1,12
40,64.95,11.1,22,19.3,0,0,0,0,1,12
41,65,11.1,22,19.3,0,0,0,0,1,12
42,65.44,11.1,22,19.3,0,0,0,0,1,12
43,65.88,11.1,22,19.3,0,0,0,0,1,12
44,66.32,11.1,22,19.3,0,0,0,0,1,12
45,66.76,11.1,22,19.3,0,0,0,0,1,12
46,67.2,11.1,22,19.3,0,0,0,0,1,12
47,67.64,11.1,22,19.3,0,0,0,0,1,12
48,68.08,11.1,22,19.3,0,0,0,0,1,12
49,68.52,11.1,22,19.3,0,0,0,0,1,12
50,68.96,11.1,22,19.3,0,0,0,0,1,12
