1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,24,11.1,22,19.3,0,0,0,0,1,12
2,24.55,11.1,22,19.3,0,0,0,0,1,12
3,25.1,11.1,22,19.3,0,0,0,0,1,12
4,25.65,11.1,22,19.3,0,0,0,0,1,12
5,26.2,11.1,22,19.3,0,0,0,0,1,12
6,26.75,11.1,22,19.3,0,0,0,0,1,12
7,27.3,11.1,22,19.3,0,0,0,0,1,12
8,27.85,11.1,22,19.3,0,0,0,0,1,12
9,28.4,11.1,22,19.3,0,0,0,0,1,12
10,28.95,11.1,22,19.3,0,0,0,0,1,12
11,29,11.1,22,19.3,0,0,0,0,1,12
12,29.55,11.1,22,19.3,0,0,0,0,1,12
13,30.1,11.1,22,19.3,0,0,0,0,1,12
14,30.65,11.1,22,19.3,0,0,0,0,1,12
15,31.2,11.1,22,19.3,0,0,0,0,1,12
16,31.75,11.1,22,19.3,0,0,0,0,1,12
17,32.3,11.1,22,19.3,0,0,0,0,1,12
18,32.85,11.1,22,19.3,0,0,0,0,1,12
19,33.4,11.1,22,19.3,0,0,0,0,1,12
20,33.95,11.1,22,19.3,0,0,0,0,1,12
21,39,11.1,22,19.3,0,0,0,0,1,12
22,39.44,11.1,22,19.3,0,0,0,0,1,12
23,39.88,11.1,22,19.3,0,0,0,0,1,12
24,40.32,11.1,22,19.3,0,0,0,0,1,12
25,40.76,11.1,22,19.3,0,0,0,0,1,12
26,41.2,11.1,22,19.3,0,0,0,0,1,12
27,41.64,11.1,22,19.3,0,0,0,0,1,12
28,42.08,11.1,22,19.3,0,0,0,0,1,12
29,42.52,11.1,22,19.3,0,0,0,0,1,12
30,42.96,11.1,22,19.3,0,0,0,0,1,12
31,38,11.1,22,19.3,0,0,0,0,1,12
32,38.55,11.1,22,19.3,0,0,0,0,1,12
33,39.1,11.1,22,19.3,0,0,0,0,1,12
34,39.65,11.1,22,19.3,0,0,0,0,1,12
35,40.2,11.1,22,19.3,0,0,0,0,1,12
36,40.75,11.1,22,19.3,0,0,0,0,1,12
37,41.3,11.1,22,19.3,0,0,0,0,1,12
38,41.85,11.1,22,19.3,0,0,0,0,1,12
39,42.4,11.1,22,19.3,0,0,0,0,1,12
40,42.95,11.1,22,19.3,0,0,0,0,1,12
41,43,11.1,22,19.3,0,0,0,0,1,12
42,43.55,11.1,22,19.3,0,0,0,0,1,12
43,44.1,11.1,22,19.3,0,0,0,0,1,12
44,44.65,11.1,22,19.3,0,0,0,0,1,12
45,45.2,11.1,22,19.3,0,0,0,0,1,12
46,45.75,11.1,22,19.3,0,0,0,0,1,12
47,46.3,11.1,22,19.3,0,0,0,0,1,12
48,46.85,11.1,22,19.3,0,0,0,0,1,12
49,47.4,11.1,22,19.3,0,0,0,0,1,12
50,47.95,11.1,22,19.3,0,0,0,0,1,12
