1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,22,11.1,22,19.3,0,0,0,0,1,12
2,22.44,11.1,22,19.3,0,0,0,0,1,12
3,22.88,11.1,22,19.3,0,0,0,0,1,12
4,23.32,11.1,22,19.3,0,0,0,0,1,12
5,23.76,11.1,22,19.3,0,0,0,0,1,12
6,24.2,11.1,22,19.3,0,0,0,0,1,12
7,24.64,11.1,22,19.3,0,0,0,0,1,12
8,25.08,11.1,22,19.3,0,0,0,0,1,12
9,25.52,11.1,22,19.3,0,0,0,0,1,12
10,25.96,11.1,22,19.3,0,0,0,0,1,12
11,26,11.1,22,19.3,0,0,0,0,1,12
12,26.44,11.1,22,19.3,0,0,0,0,1,12
13,26.88,11.1,22,19.3,0,0,0,0,1,12
14,27.32,11.1,22,19.3,0,0,0,0,1,12
15,27.76,11.1,22,19.3,0,0,0,0,1,12
16,28.2,11.1,22,19.3,0,0,0,0,1,12
17,28.64,11.1,22,19.3,0,0,0,0,1,12
18,29.08,11.1,22,19.3,0,0,0,0,1,12
19,29.52,11.1,22,19.3,0,0,0,0,1,12
20,29.96,11.1,22,19.3,0,0,0,0,1,12
21,30,11.1,22,19.3,0,0,0,0,1,12
22,30.44,11.1,22,19.3,0,0,0,0,1,12
23,30.88,11.1,22,19.3,0,0,0,0,1,12
24,31.32,11.1,22,19.3,0,0,0,0,1,12
25,31.76,11.1,22,19.3,0,0,0,0,1,12
26,32.2,11.1,22,19.3,0,0,0,0,1,12
27,32.64,11.1,22,19.3,0,0,0,0,1,12
28,33.08,11.1,22,19.3,0,0,0,0,1,12
29,33.52,11.1,22,19.3,0,0,0,0,1,12
30,33.96,11.1,22,19.3,0,0,0,0,1,12
31,34,11.1,22,19.3,0,0,0,0,1,12
32,34.44,11.1,22,19.3,0,0,0,0,1,12
33,34.88,11.1,22,19.3,0,0,0,0,1,12
34,35.32,11.1,22,19.3,0,0,0,0,1,12
35,35.76,11.1,22,19.3,0,0,0,0,1,12
36,36.2,11.1,22,19.3,0,0,0,0,1,12
37,36.64,11.1,22,19.3,0,0,0,0,1,12
38,37.08,11.1,22,19.3,0,0,0,0,1,12
39,37.52,11.1,22,19.3,0,0,0,0,1,12
40,37.96,11.1,22,19.3,0,0,0,0,1,12
41,38,11.1,22,19.3,0,0,0,0,1,12
42,38.33,11.1,22,19.3,0,0,0,0,1,12
43,38.66,11.1,22,19.3,0,0,0,0,1,12
44,38.99,11.1,22,19.3,0,0,0,0,1,12
45,39.32,11.1,22,19.3,0,0,0,0,1,12
46,39.65,11.1,22,19.3,0,0,0,0,1,12
47,39.98,11.1,22,19.3,0,0,0,0,1,12
48,40.31,11.1,22,19.3,0,0,0,0,1,12
49,40.64,11.1,22,19.3,0,0,0,0,1,12
50,40.97,11.1,22,19.3,0,0,0,0,1,12
