1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,-0.2,11.1,0,55,0,0,0,0,1,7
2,-0.204,11.1,0,55,0,0,0,0,1,7
3,-0.208,11.1,0,55,0,0,0,0,1,7
4,-0.212,11.1,0,55,0,0,0,0,1,7
5,-0.216,11.1,0,55,0,0,0,0,1,7
6,-0.22,11.1,0,55,0,0,0,0,1,7
7,-0.224,11.1,0,55,0,0,0,0,1,7
8,-0.228,11.1,0,55,0,0,0,0,1,7
9,-0.232,11.1,0,55,0,0,0,0,1,7
10,-0.236,11.1,0,55,0,0,0,0,1,7
11,-0.238,11.1,0,55,0,0,0,0,1,7
12,-0.242,11.1,0,55,0,0,0,0,1,7
13,-0.246,11.1,0,55,0,0,0,0,1,7
14,-0.25,11.1,0,55,0,0,0,0,1,7
15,-0.254,11.1,0,55,0,0,0,0,1,7
16,-0.258,11.1,0,55,0,0,0,0,1,7
17,-0.262,11.1,0,55,0,0,0,0,1,7
18,-0.266,11.1,0,55,0,0,0,0,1,7
19,-0.27,11.1,0,55,0,0,0,0,1,7
20,-0.274,11.1,0,55,0,0,0,0,1,7
21,-0.276,11.1,0,55,0,0,0,0,1,7
22,-0.28,11.1,0,55,0,0,0,0,1,7
23,-0.284,11.1,0,55,0,0,0,0,1,7
24,-0.288,11.1,0,55,0,0,0,0,1,7
25,-0.292,11.1,0,55,0,0,0,0,1,7
26,-0.296,11.1,0,55,0,0,0,0,1,7
27,-0.3,11.1,0,55,0,0,0,0,1,7
28,-0.304,11.1,0,55,0,0,0,0,1,7
29,-0.308,11.1,0,55,0,0,0,0,1,7
30,-0.312,11.1,0,55,0,0,0,0,1,7
31,-0.314,11.1,0,55,0,0,0,0,1,7
32,-0.318,11.1,0,55,0,0,0,0,1,7
33,-0.322,11.1,0,55,0,0,0,0,1,7
34,-0.326,11.1,0,55,0,0,0,0,1,7
35,-0.33,11.1,0,55,0,0,0,0,1,7
36,-0.334,11.1,0,55,0,0,0,0,1,7
37,-0.338,11.1,0,55,0,0,0,0,1,7
38,-0.342,11.1,0,55,0,0,0,0,1,7
39,-0.346,11.1,0,55,0,0,0,0,1,7
40,-0.35,11.1,0,55,0,0,0,0,1,7
41,-0.352,11.1,0,55,0,0,0,0,1,7
42,-0.356,11.1,0,55,0,0,0,0,1,7
43,-0.36,11.1,0,55,0,0,0,0,1,7
44,-0.364,11.1,0,55,0,0,0,0,1,7
45,-0.368,11.1,0,55,0,0,0,0,1,7
46,-0.372,11.1,0,55,0,0,0,0,1,7
47,-0.376,11.1,0,55,0,0,0,0,1,7
48,-0.38,11.1,0,55,0,0,0,0,1,7
49,-0.384,11.1,0,55,0,0,0,0,1,7
50,-0.388,11.1,0,55,0,0,0,0,1,7
