1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,-0.36,11.1,0,55,0,0,0,0,1,7
2,-0.364,11.1,0,55,0,0,0,0,1,7
3,-0.368,11.1,0,55,0,0,0,0,1,7
4,-0.372,11.1,0,55,0,0,0,0,1,7
5,-0.376,11.1,0,55,0,0,0,0,1,7
6,-0.38,11.1,0,55,0,0,0,0,1,7
7,-0.384,11.1,0,55,0,0,0,0,1,7
8,-0.388,11.1,0,55,0,0,0,0,1,7
9,-0.392,11.1,0,55,0,0,0,0,1,7
10,-0.396,11.1,0,55,0,0,0,0,1,7
11,-0.4,11.1,0,55,0,0,0,0,1,7
12,-0.404,11.1,0,55,0,0,0,0,1,7
13,-0.408,11.1,0,55,0,0,0,0,1,7
14,-0.412,11.1,0,55,0,0,0,0,1,7
15,-0.416,11.1,0,55,0,0,0,0,1,7
16,-0.42,11.1,0,55,0,0,0,0,1,7
17,-0.424,11.1,0,55,0,0,0,0,1,7
18,-0.428,11.1,0,55,0,0,0,0,1,7
19,-0.432,11.1,0,55,0,0,0,0,1,7
20,-0.436,11.1,0,55,0,0,0,0,1,7
21,-0.44,11.1,0,55,0,0,0,0,1,7
22,-0.444,11.1,0,55,0,0,0,0,1,7
23,-0.448,11.1,0,55,0,0,0,0,1,7
24,-0.452,11.1,0,55,0,0,0,0,1,7
25,-0.456,11.1,0,55,0,0,0,0,1,7
26,-0.46,11.1,0,55,0,0,0,0,1,7
27,-0.464,11.1,0,55,0,0,0,0,1,7
28,-0.468,11.1,0,55,0,0,0,0,1,7
29,-0.472,11.1,0,55,0,0,0,0,1,7
30,-0.476,11.1,0,55,0,0,0,0,1,7
31,-0.48,11.1,0,55,0,0,0,0,1,7
32,-0.484,11.1,0,55,0,0,0,0,1,7
33,-0.488,11.1,0,55,0,0,0,0,1,7
34,-0.492,11.1,0,55,0,0,0,0,1,7
35,-0.496,11.1,0,55,0,0,0,0,1,7
36,-0.5,11.1,0,55,0,0,0,0,1,7
37,-0.504,11.1,0,55,0,0,0,0,1,7
38,-0.508,11.1,0,55,0,0,0,0,1,7
39,-0.512,11.1,0,55,0,0,0,0,1,7
40,-0.516,11.1,0,55,0,0,0,0,1,7
41,-0.52,11.1,0,55,0,0,0,0,1,7
42,-0.524,11.1,0,55,0,0,0,0,1,7
43,-0.528,11.1,0,55,0,0,0,0,1,7
44,-0.532,11.1,0,55,0,0,0,0,1,7
45,-0.536,11.1,0,55,0,0,0,0,1,7
46,-0.54,11.1,0,55,0,0,0,0,1,7
47,-0.544,11.1,0,55,0,0,0,0,1,7
48,-0.548,11.1,0,55,0,0,0,0,1,7
49,-0.552,11.1,0,55,0,0,0,0,1,7
50,-0.556,11.1,0,55,0,0,0,0,1,7
